Edition,Rank,Artist,Song,songid,Released
2004,339,The Supremes,You Keep Me Hanging On,You Keep Me Hanging OnThe Supremes,1968
2004,340,The Who,Baba O'Riley,Baba O'RileyThe Who,1971
2004,341,Jimmy Cliff,The Harder They Come,The Harder They ComeJimmy Cliff,1972
2004,342,Dion,Runaround Sue,Runaround SueDion,1961
2004,343,Lavern Baker,Jim Dandy,Jim DandyLavern Baker,1991
2004,344,Janis Joplin,Piece of My Heart,Piece of My HeartJanis Joplin,1968
2004,345,Ritchie Valens,La Bamba,La BambaRitchie Valens,1959
2004,346,2Pac,California Love,California Love2Pac,1996
2004,347,Elton John,Candle in the Wind,Candle in the WindElton John,1974
2004,348,The Isley Brothers,That Lady (Part 1 and 2),That Lady (Part 1 and 2)The Isley Brothers,1973
2004,349,Ben E. King,Spanish Harlem,Spanish HarlemBen E. King,1961
2004,350,Little Eva,Loco-Motion,Loco-MotionLittle Eva,1962
2004,351,The Platters,Great Pretender,Great PretenderThe Platters,1955
2004,352,Elvis Presley,All Shook Up,All Shook UpElvis Presley,1957
2004,353,Eric Clapton,Tears in Heaven,Tears in HeavenEric Clapton,1992
2004,354,Elvis Costello,Watching the Detectives,Watching the DetectivesElvis Costello,1978
2004,355,Creedence Clearwater Revival,Bad Moon Rising,Bad Moon RisingCreedence Clearwater Revival,1969
2004,356,Eurythmics,Sweet Dreams (Are Made of This),Sweet Dreams (Are Made of This)Eurythmics,1983
2004,357,Jimi Hendrix,Little Wing,Little WingJimi Hendrix,1993
2004,358,Martha Reeves & The Vandellas,Nowhere to Run,Nowhere to RunMartha Reeves & The Vandellas,1965
2004,359,Muddy Waters,Got My Mojo Working,Got My Mojo WorkingMuddy Waters,1999
2004,360,Roberta Flack,Killing Me Softly With His Song,Killing Me Softly With His SongRoberta Flack,1973
2004,361,The Clash,Complete Control,Complete ControlThe Clash,1977
2004,362,The Beatles,All You Need Is Love,All You Need Is LoveThe Beatles,1969
2004,363,The Box Tops,The Letter,The LetterThe Box Tops,1967
2004,364,Bob Dylan,Highway 61 Revisited,Highway 61 RevisitedBob Dylan,1965
2004,365,The Righteous Brothers,Unchained Melody,Unchained MelodyThe Righteous Brothers,1966
2004,366,Bee Gees,How Deep Is Your Love,How Deep Is Your LoveBee Gees,1977
2004,367,Cream,White Room,White RoomCream,1968
2004,368,Depeche Mode,Personal Jesus,Personal JesusDepeche Mode,1990
2004,369,Bo Diddley,I'm a Man,I'm a ManBo Diddley,1957
2004,370,Jimi Hendrix,The Wind Cries Mary,The Wind Cries MaryJimi Hendrix,1972
2004,371,The Who,I Can't Explain,I Can't ExplainThe Who,1965
2004,372,Television,Marquee Moon,Marquee MoonTelevision,1977
2004,373,Sam Cooke,(What A) Wonderful World,(What A) Wonderful WorldSam Cooke,1960
2004,374,Chuck Berry,Brown-Eyed Handsome Man,Brown-Eyed Handsome ManChuck Berry,1957
2004,375,Pink Floyd,Another Brick in the Wall (Part II),Another Brick in the Wall (Part II)Pink Floyd,1980
2004,376,Radiohead,Fake Plastic Trees,Fake Plastic TreesRadiohead,1995
2004,377,Ray Charles,Hit the Road Jack,Hit the Road JackRay Charles,1961
2004,378,U2,Pride (In the Name of Love),Pride (In the Name of Love)U2,1984
2004,379,R.E.M.,Radio Free Europe,Radio Free EuropeR.E.M.,1988
2004,380,Elton John,Goodbye Yellow Brick Road,Goodbye Yellow Brick RoadElton John,1973
2004,381,Aaron Neville,Tell It Like It Is,Tell It Like It IsAaron Neville,1993
2004,382,The Verve,Bitter Sweet Symphony,Bitter Sweet SymphonyThe Verve,1997
2004,383,The Allman Brothers Band,Whipping Post,Whipping PostThe Allman Brothers Band,1969
2004,384,The Beatles,Ticket to Ride,Ticket to RideThe Beatles,1966
2004,385,"Crosby, Stills & Nash",Ohio,"OhioCrosby, Stills & Nash",1970
2004,386,Eric B. and Rakim,I Know You Got Soul,I Know You Got SoulEric B. and Rakim,1987
2004,387,Elton John,Tiny Dancer,Tiny DancerElton John,1992
2004,388,The Police,Roxanne,RoxanneThe Police,1979
2004,389,The Temptations,Just My Imagination (Running Away With Me),Just My Imagination (Running Away With Me)The Temptations,1965
2004,390,Four Tops,Baby I Need Your Lovin',Baby I Need Your Lovin'Four Tops,2005
2004,391,Freda Payne,Band of Gold,Band of GoldFreda Payne,1984
2004,392,Five Stairsteps,O-O-H Child,O-O-H ChildFive Stairsteps,2001
2004,393,The Lovin' Spoonful,Summer in the City,Summer in the CityThe Lovin' Spoonful,1966
2004,394,Elvis Presley,Can't Help Falling in Love,Can't Help Falling in LoveElvis Presley,1961
2004,395,The Shangri-Las,Remember (Walking in the Sand),Remember (Walking in the Sand)The Shangri-Las,1987
2004,396,Big Star,Thirteen,ThirteenBig Star,1978
2004,397,Blue Öyster Cult,(Don't Fear) the Reaper,(Don't Fear) the ReaperBlue Öyster Cult,1976
2004,398,Lynyrd Skynyrd,Sweet Home Alabama,Sweet Home AlabamaLynyrd Skynyrd,1974
2004,399,Metallica,Enter Sandman,Enter SandmanMetallica,1991
2004,400,Paul Revere & The Raiders,Kicks,KicksPaul Revere & The Raiders,2000
2004,401,The Shirelles,Tonight's the Night,Tonight's the NightThe Shirelles,1961
2004,402,Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin),Thank You (Falettinme Be Mice Elf Agin)Sly & The Family Stone,1970
2004,403,Eddie Cochran,C'mon Everybody,C'mon EverybodyEddie Cochran,1959
2004,404,Bob Dylan,Visions of Johanna,Visions of JohannaBob Dylan,1985
2004,405,Carpenters,We've Only Just Begun,We've Only Just BegunCarpenters,1970
2004,406,R. Kelly,I Believe I Can Fly,I Believe I Can FlyR. Kelly,1996
2004,407,Nirvana,In Bloom,In BloomNirvana,2002
2004,408,Aerosmith,Sweet Emotion,Sweet EmotionAerosmith,1991
2004,409,Cream,Crossroads,CrossroadsCream,1994
2004,410,Pixies,Monkey Gone to Heaven,Monkey Gone to HeavenPixies,1989
2004,411,Donna Summer,I Feel Love,I Feel LoveDonna Summer,1977
2004,412,Bobbie Gentry,Ode to Billie Joe,Ode to Billie JoeBobbie Gentry,1967
2004,413,Little Richard,The Girl Can't Help It,The Girl Can't Help ItLittle Richard,1956
2004,414,The Coasters,Young Blood,Young BloodThe Coasters,1957
2004,415,Four Tops,I Can't Help Myself,I Can't Help MyselfFour Tops,1965
2004,416,Don Henley,Boys of Summer,Boys of SummerDon Henley,1984
2004,417,N.W.A,Fuck tha Police,Fuck tha PoliceN.W.A,1989
2004,418,"Crosby, Stills & Nash",Suite: Judy Blue Eyes,"Suite: Judy Blue EyesCrosby, Stills & Nash",1971
2004,419,Dr. Dre,Nuthin' but a 'G' Thang,Nuthin' but a 'G' ThangDr. Dre,1993
2004,420,The Isley Brothers,It's Your Thing,It's Your ThingThe Isley Brothers,1984
2004,421,Billy Joel,Piano Man,Piano ManBilly Joel,1974
2004,422,The Kinks,Lola,LolaThe Kinks,1970
2004,423,Elvis Presley,Blue Suede Shoes,Blue Suede ShoesElvis Presley,1956
2004,424,The Rolling Stones,Tumbling Dice,Tumbling DiceThe Rolling Stones,1972
2004,425,The Smiths,"William, It Was Really Nothing","William, It Was Really NothingThe Smiths",1984
2004,426,Deep Purple,Smoke on the Water,Smoke on the WaterDeep Purple,1973
2004,427,U2,New Year's Day,New Year's DayU2,1983
2004,428,Mitch Ryder & The Detroit Wheels,Devil With a Blue Dress on - Good Golly Miss Molly,Devil With a Blue Dress on - Good Golly Miss MollyMitch Ryder & The Detroit Wheels,1966
2004,429,Solomon Burke,Everybody Needs Somebody to Love,Everybody Needs Somebody to LoveSolomon Burke,1964
2004,430,The Clash,(White Man) in Hammersmith Palais,(White Man) in Hammersmith PalaisThe Clash,1978
2004,431,Fats Domino,Ain't That a Shame,Ain't That a ShameFats Domino,1955
2004,432,Gladys Knight and the Pips,Midnight Train to Georgia,Midnight Train to GeorgiaGladys Knight and the Pips,1973
2004,433,Led Zeppelin,Ramble On,Ramble OnLed Zeppelin,1969
2004,434,Wilson Pickett,Mustang Sally,Mustang SallyWilson Pickett,1966
2004,435,The Rolling Stones,Beast of Burden,Beast of BurdenThe Rolling Stones,1978
2004,436,Love,Alone Again Or,Alone Again OrLove,1967
2004,437,Elvis Presley,Love Me Tender,Love Me TenderElvis Presley,1956
2004,438,The Stooges,I Wanna Be Your Dog,I Wanna Be Your DogThe Stooges,1969
2004,439,John Cougar Mellencamp,Pink Houses,Pink HousesJohn Cougar Mellencamp,1983
2004,440,Salt 'N' Pepa,Push It,Push ItSalt 'N' Pepa,1987
2004,441,The Dell-Vikings,Come Go With Me,Come Go With MeThe Dell-Vikings,1957
2004,442,Little Richard,Keep a Knockin',Keep a Knockin'Little Richard,1958
2004,443,Bob Marley and the Wailers,I Shot the Sheriff,I Shot the SheriffBob Marley and the Wailers,1975
2004,444,Sonny & Cher,I Got U Babe,I Got U BabeSonny & Cher,1965
2004,445,Nirvana,Come as You Are,Come as You AreNirvana,1991
2004,446,Toots & The Maytals,Pressure Drop,Pressure DropToots & The Maytals,1972
2004,447,The Shangri-Las,Leader of the Pack,Leader of the PackThe Shangri-Las,1964
2004,448,The Velvet Underground,Heroin,HeroinThe Velvet Underground,2005
2004,449,The Beatles,Penny Lane,Penny LaneThe Beatles,1969
2004,450,Glen Campbell,By the Time I Get to Phoenix,By the Time I Get to PhoenixGlen Campbell,2001
2004,451,Chubby Checker,The Twist,The TwistChubby Checker,1961
2004,452,Sam Cooke,Cupid,CupidSam Cooke,1960
2004,453,Guns N' Roses,Paradise City,Paradise CityGuns N' Roses,1989
2004,454,George Harrison,My Sweet Lord,My Sweet LordGeorge Harrison,1970
2004,455,Nirvana,All Apologies,All ApologiesNirvana,1993
2004,456,Lloyd Price,Stagger Lee,Stagger LeeLloyd Price,1959
2004,457,Ramones,Sheena Is a Punk Rocker,Sheena Is a Punk RockerRamones,1977
2004,458,Sam & Dave,Soul Man,Soul ManSam & Dave,1967
2004,459,Muddy Waters,Rollin' Stone,Rollin' StoneMuddy Waters,1988
2004,460,The Chiffons,One Fine Day,One Fine DayThe Chiffons,1963
2004,461,Prince,Kiss,KissPrince,1986
2004,462,The Staple Singers,Respect Yourself,Respect YourselfThe Staple Singers,1990
2004,463,The Beatles,Rain,RainThe Beatles,1988
2004,464,Four Tops,Standing in the Shadows of Love,Standing in the Shadows of LoveFour Tops,1992
2004,465,Cheap Trick,Surrender,SurrenderCheap Trick,1978
2004,466,Del Shannon,Runaway,RunawayDel Shannon,1961
2004,467,Guns N' Roses,Welcome to the Jungle,Welcome to the JungleGuns N' Roses,1988
2004,468,The Stooges,Search And Destroy,Search And DestroyThe Stooges,1973
2004,469,Carole King,It's Too Late,It's Too LateCarole King,1971
2004,470,Joni Mitchell,Free Man in Paris,Free Man in ParisJoni Mitchell,1974
2004,471,Willie Nelson,On the Road Again,On the Road AgainWillie Nelson,1980
2004,472,The Supremes,Where Did Our Love Go,Where Did Our Love GoThe Supremes,1964
2004,473,Aretha Franklin,Do Right Woman — Do Right Man,Do Right Woman — Do Right ManAretha Franklin,2002
2004,474,Funkadelic,One Nation Under a Groove,One Nation Under a GrooveFunkadelic,1978
2004,475,Beastie Boys,Sabotage,SabotageBeastie Boys,1994
2004,476,Foreigner,I Want to Know What Love Is,I Want to Know What Love IsForeigner,1984
2004,477,Rick James,Super Freak,Super FreakRick James,1981
2004,478,Jefferson Airplane,White Rabbit,White RabbitJefferson Airplane,1967
2004,479,LaBelle,Lady Marmalade,Lady MarmaladeLaBelle,1975
2004,480,Van Morrison,Into the Mystic,Into the MysticVan Morrison,1970
2004,481,David Bowie,Young Americans,Young AmericansDavid Bowie,1975
2004,482,Alice Cooper,I'm Eighteen,I'm EighteenAlice Cooper,1971
2004,483,The Cure,Just Like Heaven,Just Like HeavenThe Cure,1987
2004,484,Joan Jett & The Blackhearts,I Love Rock 'N Roll,I Love Rock 'N RollJoan Jett & The Blackhearts,1982
2004,485,Paul Simon,Graceland,GracelandPaul Simon,1986
2004,486,The Smiths,How Soon Is Now?,How Soon Is Now?The Smiths,1984
2004,487,The Drifters,Under the Boardwalk,Under the BoardwalkThe Drifters,1964
2004,488,Fleetwood Mac,Rhiannon,RhiannonFleetwood Mac,1975
2004,489,Gloria Gaynor,I Will Survive,I Will SurviveGloria Gaynor,1979
2004,490,The Rolling Stones,Brown Sugar,Brown SugarThe Rolling Stones,1971
2004,491,Dusty Springfield,You Don't Have to Say You Love Me,You Don't Have to Say You Love MeDusty Springfield,1966
2004,492,Jackson Browne,Running on Empty,Running on EmptyJackson Browne,1996
2004,493,The Crystals,Then He Kissed Me,Then He Kissed MeThe Crystals,1963
2004,494,The Eagles,Desperado,DesperadoThe Eagles,1972
2004,495,Smokey Robinson and the Miracles,Shop Around,Shop AroundSmokey Robinson and the Miracles,1983
2004,496,The Rolling Stones,Miss You,Miss YouThe Rolling Stones,1978
2004,497,Weezer,Buddy Holly,Buddy HollyWeezer,1994
2004,498,Brook Benton,Rainy Night in Georgia,Rainy Night in GeorgiaBrook Benton,1970
2004,499,Thin Lizzy,The Boys Are Back in Town,The Boys Are Back in TownThin Lizzy,1976
2004,500,Boston,More Than a Feeling,More Than a FeelingBoston,1976
