,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
863,3gxPpuO2fr4nwHYsGVzoSP,Someday Baby,R.L. Burnside,0,2004-08-17,False,0.712,0.879,0,-3.799,1,0.19,0.0287,0.317,0.907,90.264,196427,4
864,12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),Selena Gomez,70,2017-02-17,False,0.64,0.533,0,-6.596,1,0.119,0.0,0.0864,0.515,99.968,220781,4
865,1BZG99C7Co1r6QUC3zaS59,Same Old Love,Selena Gomez,70,2015-10-09,False,0.672,0.593,11,-4.01,0,0.0223,0.0,0.214,0.438,98.02,229080,4
866,5w22aDDwvWR0puSp6ZL6LJ,Tessellate - Bonus Track,Ellie Goulding,39,2013-01-01,False,0.628,0.28,2,-10.843,1,0.907,0.0159,0.151,0.399,129.736,236961,4
867,4P73ZBrXOmsZA6WXsuxUC1,Got It,Marian Hill,56,2015-02-17,False,0.787,0.467,1,-8.29,0,0.0552,0.239,0.0481,0.509,164.078,191947,4
868,1nnB7BRnPzbxq8rMQbyBzS,Honeydripper,Royce Wood Junior,0,2015-06-09,False,0.698,0.499,0,-10.241,0,0.341,4.2e-05,0.277,0.503,146.125,187604,4
869,1hArCzUTZ5vQLxt9GAq1UE,Earth Apple,The Suitcase Junket,19,2015-01-06,False,0.473,0.413,1,-11.555,1,0.0979,0.00191,0.1,0.36,79.729,186107,4
870,6AeQlMyRzvSl1nkFztZyKl,Issues,Julia Michaels,58,2017-01-13,False,0.722,0.417,8,-6.825,1,0.39,0.0,0.0612,0.451,113.965,176347,4
871,2BepFzUWfczDk68DXj10w3,One Thing,Finger Eleven,61,2003-01-01,False,0.588,0.555,1,-9.401,1,0.447,0.0,0.0806,0.445,151.991,279573,4
872,28IEbk5a7twNTbUEvWslUb,Paralyzer,Finger Eleven,78,2007-01-01,False,0.644,0.939,11,-3.486,0,0.157,0.0,0.233,0.861,106.031,208107,4
873,58XuMuusPaPKmW32e42xkp,Wasting My Time,Default,29,2001-10-01,False,0.442,0.785,2,-5.566,1,0.00152,0.0,0.0694,0.216,147.988,269307,4
874,4bp2JwBVuSAmtNib6gcNXP,Deny,Default,24,2001-10-01,False,0.569,0.82,7,-4.279,1,0.0195,7.54e-06,0.142,0.334,107.911,235800,4
875,7eAnF0Yr5MsC3Y2JOxBaY5,Synthetic,Spineshank,28,2008,False,0.48,0.925,6,-4.449,1,1.8e-05,8.96e-06,0.14,0.46,150.014,190267,4
876,3lSDIJ2abCrOdDJ6pshUap,Close,Tove Lo,72,2016-06-10,False,0.654,0.623,6,-5.273,0,0.253,0.0,0.144,0.401,123.996,234213,4
877,1HaZ5x3c3HXRrLLHfsjO5p,Family Portrait,P!nk,0,2001-11-16,False,0.761,0.687,0,-5.346,0,0.0217,2.99e-06,0.562,0.779,91.808,296427,4
878,3a4FZmznEyHMYyxiw45k37,Joe - Live From Austin City Limits,Alabama Shakes,0,2015-10-28,False,0.468,0.394,9,-6.611,1,0.902,0.00075,0.475,0.303,110.471,211375,3
879,1MyMb6hfg0HGMhXeThuXtB,Rain In The Valley,The Steel Wheels,37,2012-03-05,False,0.527,0.36,11,-6.825,1,0.826,0.0,0.0803,0.386,140.723,193747,4
880,3MmsHG8G1Kk8k51PLOTiZh,The Hustle,A Night In The Box,34,2009-11-30,False,0.513,0.557,8,-7.057,1,0.866,0.0,0.273,0.778,104.263,231200,4
881,4brAByI9ZV7WOYDwT3yPaH,Hi Ho,The War and Treaty,37,2016-04-28,False,0.489,0.649,7,-6.041,1,0.405,0.0,0.062,0.734,114.869,191635,4
882,1EAuRuC7lIgIVLwXaZoHLo,The Hurricane's Eye,Jesse Roper,4,2015-01-23,False,0.357,0.658,9,-8.197,1,0.0078,0.00274,0.132,0.227,164.221,215912,4
883,4kLt4DPrVQhzqzmIEgUZI6,Love & War (feat. Yade Lauren) - DOLF Remix,DOLF,19,2017-02-03,True,0.478,0.879,5,-4.806,0,9.11e-05,0.914,0.381,0.634,160.033,204375,4
884,7tXGxZGOemTwg1SEkMBlcx,Aamon,KUURO,0,2016-10-07,False,0.595,0.837,1,-6.011,1,0.00499,0.0359,0.101,0.338,149.964,224000,4
885,1AEYT6VxrxXPMoQUxsY0E4,Headstrong,Trapt,75,2002-11-05,True,0.492,0.896,4,-5.819,0,0.000172,2.78e-06,0.189,0.534,184.981,285570,4
886,2eII7kQp92E20ijKxRVcDK,Home,Moontricks,49,2015-10-23,False,0.651,0.471,0,-7.994,1,0.202,0.14,0.149,0.3,76.98,286000,4
887,1U0xkg7vuzXKWaNccZ7WHi,Rum,Brothers Osborne,61,2016-01-15,False,0.829,0.63,3,-6.014,1,0.43,1.32e-05,0.109,0.886,121.041,213413,4
