,id,title,album,all_artists,artist_tags,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
342,0tBbt8CrmxbjRP0pueQkyU,Wolves,Wolves,"'Selena Gomez', 'Marshmello'","'pop', 'post-teen pop', 'brostep', 'edm', 'pop', 'progressive electro house'",81,2017-10-25,False,0.724,0.804,11,-4.614,0,0.124,0.0,0.204,0.306,124.987,197993,4
343,1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier (Expanded Edition),'Hozier',"'irish singer-songwriter', 'modern rock', 'pov: indie'",81,2014-09-19,False,0.566,0.664,4,-5.303,0,0.634,0.0,0.116,0.437,128.945,241693,4
344,3EPXxR3ImUwfayaurPi3cm,Be Alright,Be Alright,'Dean Lewis',"'australian pop', 'pop'",81,2018-06-29,True,0.553,0.586,11,-6.319,1,0.697,0.0,0.0813,0.443,126.684,196373,4
345,7eBqSVxrzQZtK2mmgRG6lC,Murder on My Mind,I AM YOU,'YNW Melly',"'melodic rap', 'rap'",81,2018-08-03,True,0.759,0.73,0,-7.985,0,0.145,3.06e-06,0.11,0.74,115.007,268434,4
346,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),"'Cardi B', 'Megan Thee Stallion'","'pop', 'rap', 'houston rap', 'pop', 'r&b', 'rap', 'trap queen'",81,2020-08-07,True,0.935,0.454,1,-7.509,1,0.0194,0.0,0.0824,0.357,133.073,187541,4
347,1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,MUDBOY,'Sheck Wes',"'pop rap', 'rap', 'trap'",81,2018-10-05,True,0.729,0.625,4,-5.266,1,0.194,0.00986,0.248,0.261,146.034,183907,4
348,5R8dQOPq8haW94K7mgERlO,Poker Face,The Fame,'Lady Gaga',"'art pop', 'dance pop', 'pop'",81,2008-01-01,False,0.851,0.806,4,-4.62,1,0.118,1.64e-06,0.121,0.787,118.999,237200,4
349,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),"'Lil Nas X', 'Jack Harlow'","'lgbtq+ hip hop', 'deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap'",81,2021-07-23,True,0.736,0.704,3,-7.409,0,0.0203,0.0,0.0501,0.894,149.995,212000,4
350,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,Mind Of Mine (Deluxe Edition),'ZAYN',"'pop', 'uk pop'",81,2016-03-25,True,0.584,0.7,11,-4.275,1,0.117,0.0,0.0939,0.438,124.944,202747,4
351,0ll8uFnc0nANY35E0Lfxvg,Somewhere Only We Know,Hopes And Fears,'Keane',"'neo mellow', 'piano rock', 'pop rock'",81,2004-01-01,False,0.453,0.655,9,-4.22,1,0.0794,7.61e-06,0.0849,0.368,172.012,236160,4
352,0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),Dying to Live,"'Kodak Black', 'Offset', 'Travis Scott'","'florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino', 'atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'hip hop', 'rap', 'slap house'",81,2018-12-14,True,0.861,0.603,8,-5.788,0,0.0521,0.0,0.0924,0.504,98.043,228760,4
353,5w9c2J52mkdntKOmRLeM2m,Con Calma,Con Calma,"'Daddy Yankee', 'Snow'","'latin hip hop', 'reggaeton', 'trap latino', 'urbano latino', 'canadian old school hip hop', 'reggae fusion'",81,2019-01-24,False,0.737,0.86,8,-2.652,0,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
354,1p0rEzrK7YtdRZVtiyV7RN,Lemonade (feat. NAV),B4 The Storm,"'Internet Money', 'Gunna', 'Don Toliver', 'NAV'","'pop rap', 'trap', 'atl hip hop', 'melodic rap', 'rap', 'trap', 'pop rap', 'rap', 'trap', 'canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'trap'",81,2020-08-28,True,0.8,0.658,1,-6.142,0,0.25,0.0,0.111,0.462,140.042,195429,4
