Date,Setlist_link_text_link,Artist
6/15/2006,https://www.setlist.fm/setlist/job-for-a-cowboy/2006/cbgb-new-york-ny-538f57c9.html,Job for a Cowboy
6/13/2006,https://www.setlist.fm/setlist/sonic-youth/2006/cbgb-new-york-ny-53d927a1.html,Sonic Youth
6/7/2006,https://www.setlist.fm/setlist/joan-jett-and-the-blackhearts/2006/cbgb-new-york-ny-2be31cb6.html,Joan Jett and the Blackhearts
6/4/2006,https://www.setlist.fm/setlist/dick-dale/2006/cbgb-new-york-ny-4b8d4fca.html,Dick Dale
6/2/2006,https://www.setlist.fm/setlist/the-trews/2006/cbgb-new-york-ny-13844dbd.html,The Trews
5/29/2006,https://www.setlist.fm/setlist/fucked-up/2006/cbgb-new-york-ny-6bcb9ada.html,Fucked Up
5/29/2006,https://www.setlist.fm/setlist/mind-eraser/2006/cbgb-new-york-ny-7b81eea0.html,Mind Eraser
5/29/2006,https://www.setlist.fm/setlist/kill-your-idols/2006/cbgb-new-york-ny-6b81eea6.html,Kill Your Idols
5/29/2006,https://www.setlist.fm/setlist/tragedy/2006/cbgb-new-york-ny-7381eea5.html,Tragedy
5/29/2006,https://www.setlist.fm/setlist/forward/2006/cbgb-new-york-ny-7b81ee98.html,Forward
5/28/2006,https://www.setlist.fm/setlist/ignite/2006/cbgb-new-york-ny-3fb3123.html,Ignite
5/26/2006,https://www.setlist.fm/setlist/pungent-stench/2006/cbgb-new-york-ny-13de8981.html,Pungent Stench
5/26/2006,https://www.setlist.fm/setlist/machetazo/2006/cbgb-new-york-ny-3b90bc50.html,Machetazo
5/26/2006,https://www.setlist.fm/setlist/mucupurulent/2006/cbgb-new-york-ny-2390bc4b.html,Mucupurulent
5/26/2006,https://www.setlist.fm/setlist/putrid-pile/2006/cbgb-new-york-ny-3b90bc2c.html,Putrid Pile
5/26/2006,https://www.setlist.fm/setlist/splatterhouse/2006/cbgb-new-york-ny-538f5725.html,Splatterhouse
5/17/2006,https://www.setlist.fm/setlist/sticks-and-stones/2006/cbgb-new-york-ny-33ddf4ad.html,Sticks & Stones
5/13/2006,https://www.setlist.fm/setlist/misery-index/2006/cbgb-new-york-ny-3be0645c.html,Misery Index
5/13/2006,https://www.setlist.fm/setlist/disfear/2006/cbgb-new-york-ny-338f5485.html,Disfear
5/13/2006,https://www.setlist.fm/setlist/9-shocks-terror/2006/cbgb-new-york-ny-438f577f.html,9 Shocks Terror
5/13/2006,https://www.setlist.fm/setlist/disassociate/2006/cbgb-new-york-ny-5b8f577c.html,Disassociate
5/13/2006,https://www.setlist.fm/setlist/phobia/2006/cbgb-new-york-ny-438f5773.html,Phobia
5/13/2006,https://www.setlist.fm/setlist/strong-intention/2006/cbgb-new-york-ny-538f5771.html,Strong Intention
5/13/2006,https://www.setlist.fm/setlist/locked-in-a-vacancy/2006/cbgb-new-york-ny-438f5777.html,Locked in a Vacancy
4/21/2006,https://www.setlist.fm/setlist/umphreys-mcgee/2006/cbgb-new-york-ny-5bc5cfc4.html,Umphrey’s McGee
4/9/2006,https://www.setlist.fm/setlist/torche/2006/cbgb-new-york-ny-4b96c7d6.html,Torche
4/9/2006,https://www.setlist.fm/setlist/the-sword/2006/cbgb-new-york-ny-4396c797.html,The Sword
4/9/2006,https://www.setlist.fm/setlist/asg/2006/cbgb-new-york-ny-4b96c796.html,ASG
4/7/2006,https://www.setlist.fm/setlist/the-red-jumpsuit-apparatus/2006/cbgb-new-york-ny-6bf0fe42.html,The Red Jumpsuit Apparatus
3/7/2006,https://www.setlist.fm/setlist/agnostic-front/2006/cbgb-new-york-ny-13d01531.html,Agnostic Front
3/6/2006,https://www.setlist.fm/setlist/bobaflex/2006/cbgb-new-york-ny-39a0dbf.html,Bobaflex
3/6/2006,https://www.setlist.fm/setlist/psychostick/2006/cbgb-new-york-ny-1b9a0dbc.html,Psychostick
3/6/2006,https://www.setlist.fm/setlist/indorphine/2006/cbgb-new-york-ny-139a0db1.html,Indorphine
3/4/2006,https://www.setlist.fm/setlist/mississippi-cactus/2006/cbgb-new-york-ny-5beb3fd8.html,Mississippi Cactus
3/1/2006,https://www.setlist.fm/setlist/say-anything/2006/cbgb-new-york-ny-4bf1a766.html,Say Anything
3/1/2006,https://www.setlist.fm/setlist/biology/2006/cbgb-new-york-ny-1beddde8.html,Biology
2/25/2006,https://www.setlist.fm/setlist/leeway/2006/cbgb-new-york-ny-3d81ddb.html,Leeway
2/25/2006,https://www.setlist.fm/setlist/bad-brains/2006/cbgb-new-york-ny-63cb4edf.html,Bad Brains
2/3/2006,https://www.setlist.fm/setlist/ill-bill/2006/cbgb-new-york-ny-3b8f54c8.html,Ill Bill
2/3/2006,https://www.setlist.fm/setlist/jedi-mind-tricks/2006/cbgb-new-york-ny-3b8f54cc.html,Jedi Mind Tricks
2/3/2006,https://www.setlist.fm/setlist/immortal-technique/2006/cbgb-new-york-ny-338f54c1.html,Immortal Technique
2/3/2006,https://www.setlist.fm/setlist/qunique/2006/cbgb-new-york-ny-238f54c7.html,Q‐Unique
2/3/2006,https://www.setlist.fm/setlist/sabac-red/2006/cbgb-new-york-ny-338f54c5.html,Sabac Red
2/3/2006,https://www.setlist.fm/setlist/slaine/2006/cbgb-new-york-ny-238f54bb.html,Slaine
1/6/2006,https://www.setlist.fm/setlist/iconicide/2006/cbgb-new-york-ny-2b83f872.html,Iconicide
