Episode Index,Episode Id,Episode Length (ms),Episode Minutes,Episode Seconds,Episode Date,Episode Name,Episode Description,Track ID,Song,Performer,Track Popularity,Track Release Date,Explicit,Danceability,Energy,Key,Loudness,Mode,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track Duration (ms),Track Minutes,Track Seconds,Time Signature
49,07MmhducJYbP4cs8zWxEnZ,1328654,22,8,4/8/2020,FKA twigs - Mirrored Heart,"FKA twigs is a singer, songwriter, and producer from London. She’s released three EPs and two albums. Her most album, Magdalene, came out in November, 2019, and was named one of the best albums of the year by Rolling Stone, Pitchfork, Time, NME, and more.  For this episode, twigs chose the song ""Mirrored Heart"" from Magdalene. She wrote and produced it in Los Angeles with a few collaborators, but it’s an intensely personal song.  songexploder.net/fka-twigs",6z8W73OeBhTKpm8HG12RF1,mirrored heart,fka twigs,0,11/8/2019,1,0.371,0.303,0,-9.971,1,0.801,1.29e-06,0.0961,0.228,142.609,272947,4,32,3
50,01AizJxP6k7b3lXeD4Ps0p,1483560,24,43,3/25/2020,Nathaniel Rateliff - And It's Still Alright,"Nathaniel Rateliff is a singer and songwriter from Colorado. He’s released four solo albums, and two with his band, the Night Sweats.  Those two Night Sweats albums were produced by Richard Swift, who passed away in 2018. In a statement, his family said that he ""suffered from alcohol addiction, and it’s ultimately what took his life."" Nathaniel Rateliff’s new solo album, And It’s Still Alright, was supposed to be produced by Richard Swift as well, but Richard died before they could work together again. In this episode, Nathaniel breaks down the title track, which was inspired by his own complicated relationship with alcohol, and by his friendship with Richard Swift.  songexploder.net/nathaniel-rateliff",2tRxHjEkdgGMv9kZbOyqOH,and it's still alright,nathaniel rateliff,68,2/14/2020,0,0.521,0.492,3,-9.127,1,0.689,0.619,0.118,0.301,77.585,235747,3,55,4
51,6ohwumlrcG4Or0R7Leh3KB,1325989,22,5,3/11/2020,Eric Nam - Love Die Young,"Eric Nam is a Korean-American pop singer from Atlanta. He’s currently lives in Seoul, South Korea, where he found fame as a K-pop star. He was named “2016 Man of the Year” by GQ Korea, and Forbes named him one of their “30 under 30 Asia.”  But his success in Korea has been complicated a little by what he wanted to do with his career versus what he felt he was allowed to do. As his career as an artist has evolved, he’s gotten closer and closer to making the music he wants to make. In November 2019, Eric released Before We Begin — his first album entirely in English. In this episode, Eric Nam and producer Rabitt break down a song from that album called “Love Die Young.”  songexploder.net/eric-nam",1QKgh2Wqbsww8KtmSBwaIf,love die young,eric nam,0,11/14/2019,0,0.664,0.39,11,-8.802,1,0.658,0,0.0933,0.219,76.008,203213,3,23,4
52,30eNyhlSwJ6KpkLaB2IbXc,1296900,21,36,2/26/2020,Soccer Mommy - Circle the Drain,"Sophie Allison makes music under the name Soccer Mommy. Her debut album came out in 2018, when she was 20 years old, and the New York Times named it one of the best album of the year. Her second album, Color Theory, comes out this week, and it includes this song, ""Circle the Drain."" In this episode, she takes ""Circle the Drain"" apart and explains how it was influenced by songs from her childhood.  songexploder.net/soccer-mommy",2drtd6SptpMJ1KylMQ7mrE,circle the drain,soccer mommy,63,2/28/2020,0,0.482,0.79,9,-5.221,1,0.303,0.00028,0.1,0.47,169.064,280213,4,40,4
53,6otslvaXtNlIrvYDcwNG5Y,1213558,20,13,2/12/2020,Caribou - Home,"Dan Snaith has been making Caribou records since 2001. He won Canada’s Polaris music prize in 2007, and this month, he’s releasing the seventh Caribou album, Suddenly.  In this episode, Dan breaks down the song “Home.” He talks about how he managed to get past several moments of creative uncertainty to figure out the final track.  songexploder.net/caribou",28zoejp0PJ4dpp9xOPQPiO,home,caribou,0,2/28/2020,0,0.696,0.66,7,-7.553,1,0.0351,0.00964,0.198,0.558,96.987,156293,2,36,4
54,5kyTF5NjFQXVlumi1Q6ybc,1170613,19,30,1/29/2020,Vagabon - Water Me Down,"When Laetitia Tamko started making the second Vagabon album, she really wanted to produce the entire thing on her own. It would be a new sound, and producing was still a relatively new skill to her, but she wanted to tackle it head on, and do it all herself. On this song, though, ""Water Me Down,"" Laetitia actually has a co-producer, Eric Littman. It’s the one exception to her otherwise entirely self-produced album. In this episode, she breaks down how she and Eric made the song, and why it was worth making that exception.  songexploder.net/vagabon",1CON7om9HhIyr8cuZ6WmzC,water me down,vagabon,50,10/18/2019,0,0.792,0.723,1,-9.673,0,0.361,0.0919,0.103,0.19,115.425,272230,4,32,4
55,0v9VtZEyWYT9AXfPzNWRMD,1582381,26,22,1/15/2020,Semisonic - Closing Time,"The song “Closing Time” by the American rock band Semisonic came out in March 1998. It hit #1 on the Alternative charts, and was nominated for a Grammy for Best Rock Song. It gets played in stadiums, Weird Al covered it, and it’s the last song of the night in countless bars.  Since then, Dan Wilson, the lead singer and songwriter of Semisonic, has become a powerhouse songwriter who has written or co-written for artists like John Legend and Taylor Swift. And he’s won Grammys for his songwriting with the Dixie Chicks and Adele. But over two decades ago, Dan and his bandmates John Munson and Jacob Slichter were in Minneapolis, getting ready to start work on their second album, Feeling Strangely Fine. In this episode of Song Exploder, Dan breaks down how that process led to ""Closing Time.""  songexploder.net/semisonic",1A5V1sxyCLpKJezp75tUXn,closing time,semisonic,74,1/1/2003,0,0.478,0.854,7,-5.454,1,0.0204,1.21e-06,0.115,0.274,91.854,274160,4,34,4
56,3RbMmKxC022slqqY3Rw5no,1628539,27,8,12/25/2019,Vampire Weekend - Harmony Hall,"The band Vampire Weekend started in 2006, in New York. Their third album came out in 2013, and was named one of the best albums of the year all over the place, and it won a Grammy. But it took six years for their next album, Father of the Bride, to come out. This album’s also been nominated for a Grammy, for album of the year. And the lead single from it, “Harmony Hall,” was nominated for Best Rock Song.  In this episode, Ezra Koenig from Vampire Weekend takes “Harmony Hall” apart. I spoke to him along with producer Ariel Rechtshaid, and the two of them detailed winding path the song went down, over several years, before it finally took shape.  songexploder.net/vampire-weekend",39exKIvycQDgs4T6uXdyu0,harmony hall,vampire weekend,64,5/3/2019,0,0.653,0.76,11,-6.086,1,0.475,0.000129,0.0917,0.6,98.008,308733,5,8,4
58,0bkO50AQHpoWDUigxUm2Jw,1155227,19,15,12/11/2019,Meek Mill - Trauma,"Meek Mill is a rapper from Philadelphia. He’s put out five albums. His most recent, Championships, debuted at #1 on the charts, and was nominated for a Grammy for Best Rap Album.  Back in 2007, He was arrested on a gun charge at the age of 19, and over the last eleven years, he was sent to prison four times for parole violations. But in July 2019, based on evidence of alleged police corruption, the Pennsylvania Superior Court threw out his conviction, and the parole violation that had led to his most recent time in prison, a five-month sentence.  It was soon after Meek Mill was released that this song, “Trauma,” was created. He took inspiration from his experiences in prison, and his early life in Philadelphia.  In this episode, Meek Mill and Don Cannon, who produced the track, break down how the whole thing came together.  songexploder.net/meek-mill  Right now, Radiotopia is holding its annual fundraiser. You can help support Song Exploder and the network that makes it possible. Make your mark. Go to Radiotopia.fm to donate today.",45CCe4gu08OYG1I4MH8TU6,trauma,meek mill,50,11/30/2018,1,0.682,0.639,8,-4.406,1,0.0284,0,0.197,0.183,89.09,238203,3,58,4
59,5lmtiBIKHZl0gGX47YRvp2,1248719,20,48,11/27/2019,Bat for Lashes - Kids in the Dark,"Natasha Khan makes music under the name Bat for Lashes. She’s released five albums, including Lost Girls, which came out in September 2019.  In this episode, she breaks down the making of the lead single from that album, called “Kids in the Dark.” But just before she started writing it, she wasn't sure if she would make another album at all.  songexploder.net/bat-for-lashes  Right now, Radiotopia is holding its annual fundraiser. You can help support Song Exploder and the network that makes it possible. Make your mark. Go to Radiotopia.fm to donate today.",40xAHUtZKm5mv21X7xRNml,kids in the dark,bat for lashes,43,9/6/2019,0,0.47,0.526,1,-10.987,1,0.524,0.00557,0.0856,0.257,138.978,208613,3,28,4
60,2pACycYUJ4ahAsJW3vPUlP,1095746,18,15,11/13/2019,Jay Som - Tenderness,"Melina Duterte goes by the name Jay Som. She’s a singer, songwriter, and multi-instrumentalist. She’s released three albums as Jay Som, and has produced, engineered, and mixed each one.  Her third album, Anak Ko, came out in August 2019. And in this episode, Melina breaks down a song from it called “Tenderness.”  songexploder.net/jay-som",2HsKkeVWys5Ts20z3e5lT0,tenderness,jay som,52,8/23/2019,0,0.543,0.498,9,-10.152,1,0.692,0.433,0.078,0.815,113.394,241097,4,1,4
61,6vgzFtCyCgjYDZD87yk6Qu,1058208,17,38,10/30/2019,Slipknot - Unsainted,"Slipknot is a Grammy-winning metal band from Des Moines, Iowa, who first formed in 1995. They’ve sold over 30 million records. In this episode, guitarist Jim Root breaks down how Slipknot made the song, “Unsainted,” from their 2019 album We Are Not Your Kind.  songexploder.net/slipknot",,,,,,,,,,,,,,,,,,,,
62,37pyVmzuSTPH8ixWbTe8Ga,840843,14,0,10/16/2019,Raphael Saadiq - Kings Fall,"Raphael Saadiq is a Grammy-winning songwriter, producer, and artist from Oakland, California. He was the lead singer of the legendary ‘90s R&B group Tony! Toni! Tone!. As a producer, he’s worked with D’Angelo, TLC, Mary J. Blige, Whitney Houston, Solange Knowles, and John Legend.  In August 2019, Raphael released his fifth solo album, Jimmy Lee, which is named for his late older brother. In this episode, he breaks down a song from he made with his nephew, Dylan Wiggins, called “Kings Fall.”  songexploder.net/raphael-saadiq",1y4rtpeAOmyLHrca8rJYzd,kings fall,raphael saadiq,22,8/23/2019,0,0.557,0.817,6,-3.78,0,0.138,0.00244,0.269,0.221,135.997,166667,2,46,4
63,6LsRyiSTLhbV9k81uuLAeR,1469010,24,29,10/2/2019,Clairo - Alewife,"Claire Cotrill is a singer, songwriter, and producer who goes by the name Clairo. She started releasing music in 2014 as a teenager. A few years later, songs she had uploaded to YouTube had racked up over 40 million views. This year, Clairo put out her debut album, Immunity. She’s recently performed on Ellen and Jimmy Kimmel, and played arenas, opening for Khalid. In this episode, Clairo breaks down her song “Alewife.” I spoke to Claire and her co-producer Rostam Batmanglij about how the song was made.  songexploder.net/clairo",3jgrNd3uPU1c2PFBKYsV9d,alewife,clairo,62,8/2/2019,0,0.433,0.329,3,-13.288,1,0.932,0.0474,0.1,0.264,102.971,213000,3,33,4
64,4K6Bd2DnN0mpR0sHO4CTrs,1178319,19,38,9/18/2019,Brittany Howard - Stay High,"Brittany Howard is the guitarist and lead singer of the four-time Grammy-winning band Alabama Shakes. This month, she’s releasing her first solo album, called Jaime. In this episode, Brittany breaks down the song “Stay High,” which was the album’s first single. She started working on it while staying at a house in Topanga Canyon, near LA.  songexploder.net/brittany-howard",4vtyIW5uMCzu827nc5ThVt,stay high,brittany howard,37,9/20/2019,0,0.598,0.853,9,-5.373,1,0.132,0.00298,0.132,0.315,122.012,191396,3,11,1
65,5cP4MuoXGPGcdOxcaTulK0,1448765,24,8,9/4/2019,Robyn - Honey,"Robyn is a Swedish singer and songwriter. Her first album came out in 1995, when she was 16 years old. It went platinum in the US, double-platinum in Sweden. Since then, she’s been nominated for five Grammys and started her own record label. But there was an eight-year gap between Robyn’s album Body Talk, which came out in 2010, and her most recent album, Honey, which came out last October. Time, Rolling Stone, and Pitchfork all named it one of the best albums of the year.  For Song Exploder, Robyn breaks down the song “Honey,” the title track from that album. The first time the public heard the song was in a 2017 episode of the HBO show Girls, but that’s not the final version that was released on the album. In this episode, Robyn traces the long history of how she made “Honey,” a song that The New York Times called “her masterpiece.”  songexploder.net/robyn",4ieJSEFwhgIVJK97Rw4NkJ,honey,robyn,25,9/26/2018,0,0.652,0.604,11,-8.666,0,0.0179,0.000589,0.119,0.068,115.953,294003,4,54,4
66,3wkhv6mEsKD7o1iAWfswld,1084252,18,4,8/21/2019,"Bon Iver - Holyfields,","Justin Vernon founded the band Bon Iver in 2006. Bon Iver’s released four albums, and won two Grammys, including Best New Artist.  The most recent album, i,i, came out in August 2019, and in this episode, Justin breaks down a song from it called “Holyfields,.” He’s joined by producers Chris Messina and Brad Cook. We spoke to him in July, from his studio in Eau Claire, Wisconsin, where the song started. They finished it at Sonic Ranch studio, in Tornillo, Texas, on the border of the US and Mexico.  songexploder.net/bon-iver",0tP7eRyzsXUkuJK4m6ys7I,"holyfields,",bon iver,5,8/9/2019,0,0.565,0.413,6,-11.892,1,0.955,0.134,0.147,0.314,142.454,187533,3,7,4
67,0OOmGVyoucE2DdXhrN3EuQ,1137568,18,57,8/7/2019,Sleater-Kinney - The Future Is Here,"Sleater-Kinney was formed in 1994 by Corin Tucker and Carrie Brownstein. Drummer Janet Weiss was a member of the band from 1997 until 2019. In Time Magazine in 2001, author and critic Greil Marcus named Sleater-Kinney “America’s Best Band.” Over the years, they’ve made nine albums, including this year’s The Center Won’t Hold, which was produced by Annie Clark of St. Vincent. In this episode, Corin Tucker and Carrie Brownstein break down how the song “The Future Is Here” was made.  songexploder.net/sleater-kinney",5Cj4uKo0JGQsh6o63m55Yx,the future is here,sleater-kinney,25,8/16/2019,0,0.559,0.561,1,-6.62,1,0.0345,0.000312,0.128,0.169,109.938,180321,3,0,4
68,6dXaz7jduj1tOVlOGDmYEs,920229,15,20,7/24/2019,Denzel Curry - RICKY,"Denzel Curry is a rapper from Miami. He started his career at age 16 as part of the hip hop collective Raider Klan. He released his first solo album while still in high school.  In May 2019 Denzel released his fourth album, ZUU. He made it with the Australian production duo FnZ, who have been collaborating with him since 2016. The album was named Best New Music by Pitchfork, and Denzel made his TV debut on The Tonight Show.  songexploder.net/denzel-curry",2QbGvQssb0VLLS4x5NOmyJ,ricky,denzel curry,68,5/31/2019,1,0.776,0.562,9,-6.901,1,0.0399,0,0.138,0.521,169.03,147867,2,27,4
69,4qdhuXppi3sKBjD8viiJD3,1293310,21,33,7/10/2019,Jamila Woods - BALDWIN,"Jamila Woods is a singer, songwriter, and poet from Chicago. She’s released two albums, and she’s collaborated with artists like Chance the Rapper, Noname, and Macklemore.  In May 2019, she put out her second album, LEGACY! LEGACY!, to critical acclaim. NME called it one of the albums of the year, Rolling Stone called it a “revelation,” and Pitchfork named it “Best New Music.”  In this episode, Jamila and her producer Slot-A break down a song from that album, called “BALDWIN,” named after the late author and civil rights activist James Baldwin.  songexploder.net/jamila-woods",0b4gC187hjb89e8VP0e4EQ,baldwin,nico segal,0,5/10/2019,0,0.603,0.523,5,-6.07,0,0.77,0.00168,0.189,0.382,98.961,233825,3,53,4
70,3TPwvW8FoaPLBWVw9Onnvc,1083860,18,3,6/26/2019,Big Thief - Cattails,"Big Thief is a four piece folk-rock band from Brooklyn, New York. In May 2019, they released their third album, U.F.O.F., to critical acclaim. Pitchfork named it “Best New Music.”  In this episode, singer Adrianne Lenker and drummer James Krivchenia break down a song from that album called “Cattails.”  songexploder.net/big-thief",623gFZ4VYa2EDu1D1sWFm0,cattails,big thief,0,5/3/2019,0,0.556,0.58,1,-6.925,1,0.822,0.00594,0.111,0.702,80.514,245640,4,5,4
71,1Z4mVYLoe6KNJGbgpQUsfi,1400856,23,20,6/12/2019,Sheryl Crow - Redemption Day (feat. Johnny Cash),"Sheryl Crow is a singer-songwriter from Missouri. She’s released ten studio albums, sold over 50 million records, and has won nine Grammys.  In April 2019, Sheryl Crow released a new version of her song “Redemption Day,” which was first released on her self-titled album in 1996. This new version features vocals from Johnny Cash, who recorded a cover of the song that was released posthumously in 2010. And in this episode, Sheryl Crow breaks down how it all came together.  songexploder.net/sheryl-crow",2P0JnRD9evlIeKj9119LjH,redemption day,johnny cash,32,4/19/2019,0,0.338,0.258,3,-9.464,1,0.923,2.33e-06,0.11,0.157,85.931,288373,4,48,4
72,02wzkn61QfS0P7o1qeQAsS,1124245,18,44,5/29/2019,Raleigh Ritchie - Time in a Tree,"Raleigh Ritchie is the musical alias of Jacob Anderson, a musician and actor who’s probably best known for playing the character Grey Worm on Game of Thrones.  Raleigh Ritchie released his first album in 2016, and he’s put out a handful of EPs. In September 2018, he put out the single, “Time in a Tree.” He made the song with Grammy-nominated producer Daniel Traynor, aka Grades. In this episode, the two of them take apart “Time in a Tree” to explain how it came together, and how it was influenced by classic Hollywood movies, Billy Joel, and overwhelming anxiety.  songexploder.net/raleigh-ritchie",69n5plRIWxMH7diq0UYFPg,time in a tree,raleigh ritchie,49,8/3/2018,1,0.56,0.476,0,-7.772,0,0.482,0,0.362,0.379,105.816,225631,3,45,4
73,42DxKnHBbdpM6kbuQ5RIAN,1560255,26,0,5/15/2019,The Mountain Goats - Cadaver Sniffing Dog,"John Darnielle has been writing and recording songs as the Mountain Goats since 1991. He’s released 17 studio albums, and also written two books of fiction.  In April 2019, the Mountain Goats released the album In League with Dragons, and in this episode, John Darnielle breaks down a song from it, called Cadaver-Sniffing Dog. We’ll hear his original demo, and then, hear how the song evolved at Blackbird Studios in Nashville, with the help of John’s band, some incredible session musicians, and producer Owen Pallett.  songexploder.net/the-mountain-goats",5p6Va7ynYWThHACvutLNmP,cadaver sniffing dog,the mountain goats,0,4/26/2019,0,0.627,0.661,11,-10.393,0,0.0378,0.102,0.158,0.869,173.458,234960,3,54,4
74,5j4tGcVTzWjzj2kXuZDohB,1476559,24,36,5/1/2019,The Cranberries - All Over Now,"The Cranberries formed in Limerick, Ireland in 1989. Singer Dolores O’Riordan joined a year later, and the group went on to become one of the defining bands on the ‘90s, eventually selling over 40 million records worldwide.  In January 2018, while the band was working on their eighth album, Dolores O’Riordan passed away unexpectedly. Later that year, remaining members Noel Hogan, Mike Hogan, and Fergal Lawler announced that they would end the band, and that this would be their final album. It's called In The End.  It was released in April 2019, and in this episode, guitarist and songwriter Noel Hogan breaks down a song from it called “All Over Now.” You’ll hear how Hogan and O’Riordan first started the song, and how the remaining members worked to finish it without her.  songexploder.net/the-cranberries",58brvcrp3VivwIxRR8gT6Y,all over now,the cranberries,46,4/26/2019,0,0.529,0.845,0,-5.432,0,0.000199,0.174,0.227,0.571,109.093,256387,4,16,4
75,13AWmRUGFD6qzAOoXCzjt5,902492,15,2,4/17/2019,Panda Bear - Dolphin,"Panda Bear is musician Noah Lennox. He’s a founding member of the experimental, genre-defying band Animal Collective, and as a solo artists, he’s released six albums.  In February 2019, Panda Bear released the album Buoys, and in this episode, he and his co-producer Rusty Santos break down the opening song, “Dolphin.” You’ll hear the original demo, and how they drew inspiration from music from all over the world.  songexploder.net/panda-bear",10n7ftA9Y0hAdaFMWDYsk2,dolphin,panda bear,28,2/8/2019,0,0.539,0.42,8,-10.313,1,0.22,0.00158,0.0602,0.465,86.758,221587,3,41,3
76,2JbkWxvR7vJ5kvgXxYt7wr,1674619,27,54,4/3/2019,Sharon Van Etten - Seventeen,"Sharon Van Etten is a singer and songwriter who’s put out five albums. She's also an actress—she’s in The OA and Twin Peaks. Her most recent album, Remind Me Tomorrow, came out in January 2019.  In this episode, Sharon breaks down a single from that album called “Seventeen.” She shares the original demo she made with the song’s co-writer Kate Davis, and we’ll hear from producer John Congleton, who helped craft Sharon’s new, more electronic sound.  songexploder.net/sharon-van-etten",7yMYqHqzye8vtyiHqdVlZw,seventeen,sharon van etten,16,1/18/2019,0,0.538,0.77,5,-7.376,1,0.0158,0.214,0.0686,0.238,127.103,265920,4,25,4
77,7qBycblWhaNzRYMrYacJNZ,1398348,23,18,3/20/2019,Nakhane - New Brighton (feat. Anohni),"Nakhane is a singer and songwriter from Johannesburg, South Africa. His first album, Brave Confusion, won the South African Music Award for best alternative album in 2014. He starred in the award-winning film “The Wound,” which was shortlisted for the Oscar for Best Foreign Film.  Nakhane’s second album, You Will Not Die, was originally released in 2018, and then released in the US in 2019, as a deluxe version. The deluxe version includes this song,“New Brighton,” featuring guest vocals from Anohni. In this episode, as Nakhane breaks the song down, he talks about his complicated relationship with Christianity, why the song wasn’t on the original version of the album, and what it was like to work with one of his musical heroes.  songexploder.net/nakhane",07kiyjs5HtfKdsXqnr48B3,new brighton (feat. anohni),anohni,32,3/16/2018,0,0.553,0.792,2,-7.898,1,0.0143,0.0586,0.22,0.489,114.992,199413,3,19,4
78,2XjgzLYeehbJeVsmQtIRp5,1297881,21,37,3/6/2019,Mumford & Sons - Beloved,"Mumford & Sons are a Grammy-winning band that formed in London in 2007. They’ve put out four albums, and sold millions of copies. Their last three albums have all debuted at number one on the Billboard charts. The most recent of those albums is Delta, which came out in November 2018. The band is made up of Marcus Mumford, Ben Lovett, Winston Marshall, and Ted Dwane, and in this episode, Marcus and Ben break down a song from Delta called “Beloved.” You’ll how the song went from Marcus’s original raw voice memo to the intricate finished track.  songexploder.net/mumford-and-sons",4XzBJwWmmvBP1I8y4sY4g4,beloved,mumford & sons,56,11/16/2018,0,0.454,0.761,2,-7.57,1,0.00509,0.0453,0.185,0.308,191.898,265096,4,25,4
79,4bugPUtyDvRjhIclGKB5Ka,1405480,23,25,2/20/2019,Phoebe Bridgers - Scott Street,"Phoebe Bridgers is a singer-songwriter from Los Angeles. In September 2017, she released her debut album, Stranger in the Alps. One of the breakout songs from that album was “Scott Street,” a song Phoebe cowrote with her drummer, Marshall Vore. In this episode, Phoebe and Marshall break down how the song went from an unfinished cassette recording, to an acoustic demo, to the finished album version.  songexploder.net/phoebe-bridgers",0jqFM7E9z1PLYtPVCuFwAi,scott street,phoebe bridgers,13,9/22/2017,0,0.509,0.417,10,-9.632,1,0.77,0.0946,0.0887,0.482,134.956,305001,5,5,4
80,7FBFDF3XeBrauVIzd50L5E,727811,12,7,2/6/2019,Wonderly - The Daily (Theme),"The Daily is a hit podcast from The New York Times, hosted by Michael Barbaro. Every weekday, over 1.7 million people download the show. It launched in February 2017, and in honor of its two-year anniversary, we’re publishing a bonus episode about the show’s theme song, which was composed by Jim Brunberg and Ben Landsverk of Wonderly. It was originally published on the New York Times website, in 2018.  songexploder.net/the-daily",2r6v46JcggRdBejZ04ljMq,daily theme,wonderly,12,6/1/2018,0,0.602,0.343,2,-20.406,1,0.113,0.133,0.13,0.0369,94.643,64329,1,4,3
81,3FGUsfbqKGOxTGKAgfsVCA,1134224,18,54,1/23/2019,Japanese Breakfast - Boyish,"Japanese Breakfast is the musical project of Michelle Zauner, who’s been making music under that name since 2013. In July 2017, she released her second album, Soft Sounds from Another Planet, to critical acclaim.    In this episode, Michelle breaks down a song from that album called “Boyish,” along with her co-producer and bandmate Craig Hendrix. We’ll hear the original demo, plus a version Michelle recorded with her old band. And she’ll talk about how her perspective on the song has changed over the years.   songexploder.net/japanese-breakfast",0De8H4o9xzPtjRp9dns0L5,boyish,japanese breakfast,8,7/14/2017,0,0.227,0.457,2,-7.459,1,0.0979,0.000447,0.189,0.371,106.727,213987,3,33,4
82,7hWtuzY3Ye7RxDwZPqxdlR,1224634,20,24,1/9/2019,Hozier - Nina Cried Power (feat. Mavis Staples),"Andrew Hozier-Byrne is a Grammy-nominated singer-songwriter from Ireland. His debut single from 2013, “Take Me to Church,” was a massive, multi-platinum hit.  In September 2018, Hozier released the song “Nina Cried Power,” which features the legendary gospel singer Mavis Staples. In this episode, Hozier breaks down how he made the song, and Mavis Staples tells the story of how she got involved.  songexploder.net/hozier",7wR5r0KYGXBpyWXCdyYs3F,nina cried power (feat. mavis staples),mavis staples,42,9/6/2018,0,0.29,0.889,1,-2.611,1,0.00949,0,0.0821,0.651,98.835,225213,3,45,4
83,1SpkoZVKjKfNeC2IIJqxFu,980102,16,20,12/20/2018,"Yo-Yo Ma - Prelude, Cello Suite No. 1 in G Major","Yo-Yo Ma is perhaps the most famous and well-loved cellist in the world. He was born in Paris in 1955; his family moved to the U.S. when he was seven. He played for President Kennedy that year. He played at Carnegie Hall for the first time when he was 16. He’s won 18 Grammys, and he was awarded the Presidential Medal of Freedom.  For this special episode of Song Exploder, Yo-Yo Ma talks about the Prelude to Johann Sebastian Bach’s Cello Suite No.1 in G Major. He discusses learning, performing, and recording the piece across 58 years of his life.   songexploder.net/yo-yo-ma",5mRrklQD0rvuN6sV10HfPn,"unaccompanied cello suite no. 1 in g major, bwv 1007: i. prélude",yo-yo ma,62,8/17/2018,0,0.326,0.0993,7,-22.496,1,0.988,0.916,0.108,0.417,137.274,150973,2,30,1
84,329yh87wJ3h1cppA1nS2Px,932724,15,32,12/13/2018,Reissue: Thao & The Get Down Stay Down - Astonished Man,"Thao Nguyen is taking over as the new host of Song Exploder in 2019. This is a reissue of an episode from 2016 in which she was the guest.  Thao & the Get Down Stay Down released the album A Man Alive in March 2016. In this episode, Thao Nguyen breaks down the song ""Astonished Man."" Thao talks about working with Merrill Garbus of Tune-Yards, who produced the album, and she speaks candidly about her relationship with her estranged father, the subject of the song.  songexploder.net/thao",,,,,,,,,,,,,,,,,,,,
85,7HSaSLVJkbICMMRd9jea0b,1364912,22,44,12/5/2018,Fleetwood Mac - Go Your Own Way,"Lindsey Buckingham is a singer-songwriter, a guitarist, and a producer. In 1974, he joined the band Fleetwood Mac, along with Stevie Nicks, his girlfriend at the time. A few year later, in 1977, Fleetwood Mac released the album Rumours, which would go on to sell over 40 million copies and become the eighth highest-selling album in history. In this episode, Lindsey Buckingham breaks down “Go Your Own Way,"" a song he wrote for that album about his relationship with Stevie Nicks.  songexploder.net/fleetwood-mac",4xh7W7tlNMIczFhupCPniY,go your own way - 2004 remaster,fleetwood mac,72,2/4/1977,0,0.586,0.941,5,-5.139,1,0.0167,0.000776,0.068,0.831,135.448,223613,3,43,4
86,5rJa6MKj75qR8HLIMuD4pn,802992,13,22,11/26/2018,Breakmaster Cylinder - Reply All,"Four years ago, on November 24, 2014, the first episode of the podcast Reply All came out. It’s a podcast about the internet hosted by Alex Goldman and PJ Vogt. And since then, they’ve put out 131 episodes. The show has gotten over 100 million downloads so far. Robert Downey Jr. is going to star in a movie based on one of their episodes. And from the debut, it’s been one of my favorite podcasts. A while back, in 2015, I did a special edition of Song Exploder for Reply All, about their theme song by Breakmaster Cylinder. I’d hear the guys talk about the Mysterious Breakmaster Cylinder in the show’s credits, but I didn’t really know who or what that was. And I wanted to find out more. So in honor of the four year anniversary of Reply All’s launch, I’m putting out this special crossover episode for the first time here on Song Exploder.  songexploder.net/reply-all",4eUtDt0eJfybN8GBo5JEED,the reply all theme,breakmaster cylinder,10,7/7/2015,0,0.701,0.688,0,-5.757,1,0.0117,0.175,0.079,0.43,96.01,76840,1,16,4
87,7k7ZmXJjY4o0khmdKVVmWS,941284,15,41,11/19/2018,Empress Of - When I'm With Him,"Lorely Rodriguez is a singer, songwriter, and producer who goes by the name Empress Of. She’s released two albums, and she’s sung on tracks with Khalid, Blood Orange, and Dirty Projectors. Her first album, Me, was made on her own. But her second album, Us, features a bunch of collaborators. In this episode, Lorely breaks down the Empress Of song “When I’m With Him.” She co-produced it with Jim-E Stack and Dan Nigro, and I spoke to Jim-E Stack for this episode, too. Lorely explained how collaborating with producers opened up her process. Plus, the song’s lyrics are in English and Spanish, and Lorely describes how she relies on both languages to write.  songexploder.net/empress-of",4vBlxgG7iM8WwjLMHKpNkm,when i'm with him,empress of,44,10/19/2018,0,0.779,0.846,1,-5.68,1,0.301,8.83e-06,0.0623,0.757,116.014,193947,3,13,4
88,4KSfQjLSULavvWByErIVD7,972579,16,12,11/5/2018,Big Boi - Order of Operations,"Big Boi is a rapper from Atlanta. When he was a teenager, he and Andre 3000 formed OutKast, and went on to sell over 25 million records and win six Grammys. He’s released three solo albums, including Boomiverse, which came out in 2017. In this episode, Big Boi breaks down a song from that album called “Order of Operations.”  songexploder.net/big-boi",3v6c4vQUHllKyHqKdN50C7,order of operations,big boi,0,6/16/2017,1,0.581,0.797,1,-4.446,1,0.582,1.53e-06,0.155,0.387,178.133,219980,3,39,4
