Episode Index,Episode Id,Episode Length (ms),Episode Minutes,Episode Seconds,Episode Date,Episode Name,Episode Description,Track ID,Song,Performer,Track Popularity,Track Release Date,Explicit,Danceability,Energy,Key,Loudness,Mode,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track Duration (ms),Track Minutes,Track Seconds,Time Signature
11,7EPBvr58R9sqRNhN0HL5wt,1265385,21,5,9/8/2021,Mustafa - Air Forces,"Mustafa is a singer, songwriter, and poet from Toronto. He gained national recognition in Canada for his poetry. in 2016, he served on Prime Minister Justin Trudeau’s Youth Advisory Council. Later, as a songwriter, he contributed to the Grammy award-winning album Starboy by The Weeknd, and he’s written songs for Usher, Camila Cabello, and others. In May 2021, he released his own debut album, called When Smoke Rises, inspired by his experiences losing friends to inner-city violence. His album’s been critically acclaimed, and it was shortlisted for the Polaris Prize. I spoke to Mustafa about his song ""Air Forces,"" a track he made with his longtime collaborator, Grammy-winning producer Frank Dukes, plus Swedish artist Simon on the Moon, and Jamie xx.  For more visit, songexploder.net/mustafa.",5NYwjzQXE8ug35TRHoDeuW,air forces,mustafa,52,9/21/2020,0,0.53,0.333,6,-15.34,1,0.895,0.00686,0.14,0.432,174.119,178393,2,58,4
12,2S5sK7F9aGkgKnwl6ElKJm,1113796,18,33,8/25/2021,Lykke Li - I Follow Rivers,"Lykke Li is a singer and songwriter from Sweden. She started releasing music in 2007, and for much of her career, she’s worked with producer Björn Yttling, who’s also a member of the Swedish band Peter Bjorn and John. Her second album, Wounded Rhymes, came out 10 years ago. It was named one of the best albums of 2011 by the New York Times, Pitchfork, the Guardian, and more, and it won the Swedish Grammy for Best Album. The song ""I Follow Rivers"" was the breakout hit from that album, and for this episode, Lykke and Bjorn break down how they made it, with help from co-writer Rick Nowels. I spoke to the two of them while they were at Björn’s studio, Ingrid Studios in Stockholm.  For more, visit songexploder.net/lykke-li.",336ZYcU6poBWi3s8yzRcAD,i follow rivers,lykke li,65,,0,0.599,0.533,9,-14.032,0,0.475,0.00153,0.235,0.607,122.262,228467,3,48,4
13,0pH8GaAKsbGo5ifUGUto02,1316585,21,56,8/11/2021,The Shins - New Slang,"Singer, songwriter, and producer James Mercer of The Shins wrote “New Slang” when he was living in Albuquerque, New Mexico. It came out as a single and then he re-recorded it for The Shins’ debut album Oh, Inverted World, which came out 20 years ago, in 2001. After Garden State came out, featuring the song ""New Slang,"" that album went gold. And the soundtrack for the movie won a Grammy. Nowadays, James Mercer lives in Portland. I spoke to him from his home studio, and he told me how The Shins actually first started as a recording project, a side project, while he was in another band called Flake Music. In this episode, James breaks down ""New Slang"" and looks back at how his songwriting and his early home recording skills came together to make this iconic song.  For more, visit songexploder.net/the-shins.",1wAqhAF1dynDjMy7m5CSSE,new slang,the shins,59,6/19/2001,0,0.669,0.388,0,-11.547,1,0.605,0.144,0.0905,0.645,130.016,231173,3,51,4
14,0fc88HWs0FEOiKKJsiz2SG,1015759,16,55,7/28/2021,Cheap Trick - Surrender,"The song ""Surrender"" by Cheap Trick was released in 1978. Rolling Stone called it the ultimate 70s teen anthem, and included it in their list of the greatest songs of all time. It’s been in a bunch of movies and tv shows—including South Park, Scrubs, Fast Times at Ridgemont High, New Girl, and Guardians of the Galaxy. Cheap Trick formed in Rockford, Illinois in 1973. They’ve released 20 studio albums, they’ve sold over 20 million records, and in 2016 they were inducted into the Rock and Roll Hall of Fame. Rick Nielsen is the guitarist in the band. He wrote “Surrender,” and for this episode, I talked to him about how the song was made.  For more, visit songexploder.net/cheap-trick",2ccUQnjjNWT0rsNnsBpsCA,surrender,cheap trick,70,,0,0.524,0.955,0,-7.081,1,0.00717,8.77e-06,0.659,0.869,133.849,253733,4,13,4
15,4FDSQOGjY97uq4GgBFyNYc,939299,15,39,7/14/2021,Fousheé - Deep End,"The story of how the song ""Deep End"" came into existence and became a hit is kind of wild. One person who really didn’t see it coming is the person who created it, Fousheé. She’s a singer and songwriter from New Jersey. You might have seen her competing on The Voice in 2018. Soon after that, she got asked to make a pack of vocal samples for the music platform Splice, where users can download samples and include them in their own songs, royalty-free. Coming up, Foushée tells the story of what happened with one of those samples, and how that led to her making ""Deep End."" That song has now been streamed over 385 million times. Fousheé became the first Black female artist to hit the Top 10 Alternative Chart in over 30 years.   For more visit, songexploder.net/foushee.",6HlE9t71z9DjGi7KqSyEpA,deep end,fousheé,74,7/31/2020,1,0.711,0.592,4,-7.136,0,0.758,0,0.156,0.535,124.749,141224,2,21,4
16,3L6zV8SLXFzEAT6df3bHdv,1449365,24,9,6/30/2021,AURORA - Runaway,"AURORA is a singer and songwriter from Norway, who released her first EP in 2015, when she was 19 years old. It featured the song, ""Runaway"" and after it came out Aurora went on to win Norwegian Grammys for Best New Artist and Best Pop Artist. And she played the voice of the North Wind in Disney’s Frozen 2. This year, six years after that debut EP came out, Aurora’s song ""Runaway"" became a huge hit on TikTok. As of this recording, between YouTube and Spotify, ""Runaway"" has been streamed over half a billion times. In this episode, Aurora looks back at how the song first began, and how it evolved over time, from the demo to the final version.  For more, visit songexploder.net/aurora",0TCmhnbMpw5zwPsTvlXTJi,runaway,aurora,77,,0,0.521,0.277,11,-10.34,1,0.634,7.07e-05,0.103,0.13,115.01,248827,4,8,4
17,25UvoVuFUhunqQ2MofVyLM,1043605,17,23,6/16/2021,Sparks - This Town Ain't Big Enough for Both of Us,"Sparks are the brothers Ron and Russell Mael, a legendary duo from Los Angeles. Over the last 50 years, they’ve released 25 albums. They’ve collaborated with Giorgio Moroder and Franz Ferdinand, and they’ve influenced bands like Joy Division, Faith No More, Björk, and countless others. Director Edgar Wright, whose films include Shaun of the Dead, Hot Fuzz, Baby Driver, and Scott Pilgrim vs the World, has made a documentary about the band called The Sparks Brothers. It premiered at Sundance, and comes out in theaters on Friday, June 18th. In this episode, Ron and Russell break down their hit, “This Town Ain’t Big Enough for Both of Us,"" which came out in 1974, and changed their careers forever.  To learn more, visit songexploder.net/sparks  Radiotopia's annual fundraiser is going on right now! To support Song Exploder and the mission of independent, creative story-telling through creator-owned shows, please donate at radiotopia.fm/donate. ",2rgHxOarlO4W35mg0IZ5u8,this town ain't big enough for both of us,sparks,56,,0,0.465,0.731,2,-10.592,1,0.448,0.00112,0.297,0.638,129.684,184600,3,4,4
18,0Qoy8NA3ItXrFa3X0KSgv4,1211677,20,11,6/2/2021,Arlo Parks - Black Dog,"Arlo Parks is a singer and songwriter from London. In January 2021, she released her debut album, Collapsed in Sunbeams. It hit number three on the UK charts, and she won this year’s BRIT award for Breakthrough Artist. Last year, NME called her song ""Black Dog"" the year’s ""most devastating song."" In this episode, Anaïs breaks down “Black Dog,"" which she made with producer Gianluca Buccellati. (""But I just call him Luca."") Here’s Arlo Parks on Song Exploder.  If you’re thinking about suicide, or if you have a friend who is, or if you just need someone to talk to right now, you can get support by calling the National Suicide Prevention Lifeline at 1-800-273-TALK (8255) or by texting HOME to 741-741, which is the Crisis Text Line. If you're outside of the U.S., check out the list of international hotlines at suicide.org.  For more about “Black Dog,” visit songexploder.net/arlo-parks  Also: it’s the Radiotopia Spring Fundraiser! Your support helps foster independent, artist-owned, award-winning podcasts like Song Exploder. Donate today at https://on.prx.org/3wl9pWn. Thanks!",1NGPZKzplieiPc5g6lAJ49,black dog,arlo parks,58,5/4/2020,0,0.673,0.555,1,-8.025,0,0.688,0.00739,0.109,0.398,86.376,225454,3,45,4
19,1Fr231gXWBtvcp8uO7Eg3I,1195063,19,55,5/19/2021,Imagine Dragons - Follow You,"Imagine Dragons are a Grammy-winning band from Las Vegas. They’ve sold over 20 millions albums so far, and they were the most streamed band on Spotify in 2018. In March of this year, they released the song “Follow You."" Singer Dan Reynolds started the song at home, and then later, the band took it to the studio Shangri-La, to record parts of it with legendary producer Rick Rubin. In this episode, Dan breaks down the song, which tells a deeply personal story of his relationship to his wife.  For more, visit songexploder.net/imagine-dragons",7FdUvDkaE24o3FPIWTvzv2,follow you,imagine dragons,79,3/12/2021,0,0.542,0.732,9,-5.956,1,0.00209,7.92e-05,0.496,0.489,124.912,175644,2,55,4
20,157Sf2eKvyn9KdxFcDNCnR,1205617,20,5,5/5/2021,girl in red - Serotonin,"Marie Ulven is a singer, songwriter, and producer from Norway, who makes music under the name girl in red. She just released her debut album in April 2021, but she already has a big fanbase and she’s gotten a lot of critical acclaim from two EPs and singles that she’s released online, including a couple that went gold. The New York Times included her work in their best songs of the year in both 2018 and 2019, and she was nominated for Best Newcomer at the Norwegian Grammys. ""Do you listen to girl in red?"" has also become code on TikTok, a kind of shibboleth, to ask if someone’s a lesbian. In this episode, Marie breaks down the song ""Serotonin,"" a song that started as a video she posted to her own TikTok in the early days of lockdown in 2020. You’ll hear the original version she recorded on her own, before collaborating with Norwegian Grammy-winning producer Matias Téllez, and later, with Grammy-winning artist and producer Finneas O’Connell, in order to finish the song.  For more, visit songexploder.net/girl-in-red",1q2Zb0v5ZGxKDktEz7wSPb,serotonin,girl in red,70,3/3/2021,1,0.58,0.788,2,-4.714,1,0.0123,1.84e-05,0.368,0.72,148.992,182426,3,2,4
