FIPS,State,Year,Total Population,Labor Force Population,Employed,Unemployed
04,Arizona,1988,"2,669,512   ","1,722,272   ","1,611,784   ","110,488   "
05,Arkansas,1988,"1,759,711   ","1,094,444   ","1,010,503   ","83,941   "
06,California,1988,"21,676,223   ","14,603,678   ","13,833,566   ","770,112   "
08,Colorado,1988,"2,461,139   ","1,718,134   ","1,607,719   ","110,415   "
09,Connecticut,1988,"2,560,583   ","1,773,704   ","1,722,258   ","51,446   "
10,Delaware,1988,"495,735   ","345,235   ","334,832   ","10,403   "
11,District of Columbia,1988,"494,069   ","348,762   ","331,308   ","17,454   "
12,Florida,1988,"9,831,829   ","6,166,149   ","5,845,971   ","320,178   "
13,Georgia,1988,"4,713,042   ","3,197,940   ","3,018,602   ","179,338   "
15,Hawaii,1988,"775,776   ","518,862   ","503,003   ","15,859   "
16,Idaho,1988,"710,001   ","475,290   ","446,094   ","29,196   "
17,Illinois,1988,"8,598,302   ","5,712,974   ","5,328,476   ","384,498   "
18,Indiana,1988,"4,102,561   ","2,736,425   ","2,595,210   ","141,215   "
19,Iowa,1988,"2,082,325   ","1,443,343   ","1,376,016   ","67,327   "
20,Kansas,1988,"1,812,093   ","1,250,699   ","1,194,655   ","56,044   "
21,Kentucky,1988,"2,765,532   ","1,701,404   ","1,574,960   ","126,444   "
22,Louisiana,1988,"3,074,133   ","1,880,737   ","1,683,219   ","197,518   "
23,Maine,1988,"913,445   ","597,634   ","575,843   ","21,791   "
24,Maryland,1988,"3,595,803   ","2,512,679   ","2,407,155   ","105,524   "
25,Massachusetts,1988,"4,678,454   ","3,198,250   ","3,092,844   ","105,406   "
26,Michigan,1988,"6,959,468   ","4,539,348   ","4,196,289   ","343,059   "
27,Minnesota,1988,"3,216,114   ","2,295,396   ","2,196,672   ","98,724   "
28,Mississippi,1988,"1,859,399   ","1,129,988   ","1,033,719   ","96,269   "
29,Missouri,1988,"3,829,616   ","2,546,699   ","2,401,686   ","145,013   "
30,Montana,1988,"594,478   ","403,681   ","376,941   ","26,740   "
31,Nebraska,1988,"1,154,944   ","796,252   ","768,461   ","27,791   "
32,Nevada,1988,"848,934   ","616,563   ","584,471   ","32,092   "
33,New Hampshire,1988,"819,303   ","592,614   ","578,514   ","14,100   "
34,New Jersey,1988,"6,010,764   ","3,954,498   ","3,805,562   ","148,936   "
35,New Mexico,1988,"1,093,602   ","687,420   ","635,188   ","52,232   "
36,New York,1988,"13,985,625   ","8,646,537   ","8,282,518   ","364,019   "
37,North Carolina,1988,"4,939,130   ","3,379,609   ","3,254,809   ","124,800   "
38,North Dakota,1988,"467,841   ","321,793   ","306,817   ","14,976   "
39,Ohio,1988,"8,141,031   ","5,265,738   ","4,947,271   ","318,467   "
40,Oklahoma,1988,"2,348,231   ","1,503,278   ","1,407,806   ","95,472   "
41,Oregon,1988,"2,124,447   ","1,433,868   ","1,351,682   ","82,186   "
42,Pennsylvania,1988,"9,157,334   ","5,657,846   ","5,366,154   ","291,692   "
44,Rhode Island,1988,"766,220   ","516,193   ","500,922   ","15,271   "
45,South Carolina,1988,"2,531,731   ","1,664,039   ","1,587,665   ","76,374   "
46,South Dakota,1988,"501,912   ","343,699   ","329,421   ","14,278   "
47,Tennessee,1988,"3,689,926   ","2,313,429   ","2,179,833   ","133,596   "
48,Texas,1988,"12,291,668   ","8,476,633   ","7,847,106   ","629,527   "
49,Utah,1988,"1,113,675   ","772,179   ","734,062   ","38,117   "
50,Vermont,1988,"415,968   ","295,844   ","286,930   ","8,914   "
51,Virginia,1988,"4,520,976   ","3,115,742   ","2,993,656   ","122,086   "
53,Washington,1988,"3,530,884   ","2,371,906   ","2,223,425   ","148,481   "
54,West Virginia,1988,"1,408,160   ","731,086   ","659,100   ","71,986   "
55,Wisconsin,1988,"3,638,967   ","2,541,797   ","2,430,612   ","111,185   "
56,Wyoming,1988,"333,575   ","232,786   ","217,989   ","14,797   "
01,Alabama,1989,"3,032,753   ","1,882,394   ","1,750,934   ","131,460   "
02,Alaska,1989,"370,883   ","269,196   ","250,003   ","19,193   "
04,Arizona,1989,"2,729,304   ","1,766,551   ","1,673,891   ","92,660   "
05,Arkansas,1989,"1,762,568   ","1,111,841   ","1,033,619   ","78,222   "
06,California,1989,"22,253,164   ","15,050,346   ","14,283,138   ","767,208   "
08,Colorado,1989,"2,476,885   ","1,724,374   ","1,627,610   ","96,764   "
09,Connecticut,1989,"2,564,444   ","1,796,399   ","1,731,049   ","65,350   "
10,Delaware,1989,"504,079   ","355,775   ","344,145   ","11,630   "
11,District of Columbia,1989,"484,337   ","336,112   ","319,924   ","16,188   "
12,Florida,1989,"10,087,084   ","6,363,031   ","6,005,994   ","357,037   "
13,Georgia,1989,"4,788,598   ","3,256,151   ","3,080,111   ","176,040   "
15,Hawaii,1989,"789,305   ","529,465   ","516,381   ","13,084   "
16,Idaho,1989,"718,590   ","486,853   ","460,388   ","26,465   "
17,Illinois,1989,"8,617,032   ","5,864,624   ","5,509,769   ","354,855   "
18,Indiana,1989,"4,117,152   ","2,798,137   ","2,666,050   ","132,087   "
19,Iowa,1989,"2,079,861   ","1,454,106   ","1,390,830   ","63,276   "
20,Kansas,1989,"1,815,840   ","1,253,747   ","1,201,716   ","52,031   "
21,Kentucky,1989,"2,770,819   ","1,727,853   ","1,618,173   ","109,680   "
22,Louisiana,1989,"3,049,320   ","1,848,872   ","1,704,934   ","143,938   "
23,Maine,1989,"926,021   ","612,549   ","588,090   ","24,459   "
24,Maryland,1989,"3,652,835   ","2,558,100   ","2,461,538   ","96,562   "
25,Massachusetts,1989,"4,692,950   ","3,232,836   ","3,096,924   ","135,912   "
26,Michigan,1989,"6,975,457   ","4,600,640   ","4,270,437   ","330,203   "
27,Minnesota,1989,"3,240,927   ","2,324,180   ","2,223,262   ","100,918   "
28,Mississippi,1989,"1,864,112   ","1,149,421   ","1,059,150   ","90,271   "
29,Missouri,1989,"3,834,969   ","2,580,640   ","2,437,688   ","142,952   "
30,Montana,1989,"594,537   ","407,571   ","383,283   ","24,288   "
31,Nebraska,1989,"1,155,401   ","796,551   ","773,597   ","22,954   "
32,Nevada,1989,"898,101   ","643,529   ","613,357   ","30,172   "
33,New Hampshire,1989,"833,684   ","606,941   ","586,491   ","20,450   "
34,New Jersey,1989,"6,009,500   ","3,976,203   ","3,815,487   ","160,716   "
35,New Mexico,1989,"1,106,642   ","698,545   ","651,439   ","47,106   "
36,New York,1989,"14,009,945   ","8,785,912   ","8,359,792   ","426,120   "
37,North Carolina,1989,"5,010,151   ","3,442,747   ","3,319,730   ","123,017   "
38,North Dakota,1989,"462,210   ","320,560   ","306,623   ","13,937   "
39,Ohio,1989,"8,160,632   ","5,348,837   ","5,051,741   ","297,096   "
40,Oklahoma,1989,"2,344,498   ","1,506,168   ","1,419,691   ","86,477   "
41,Oregon,1989,"2,162,629   ","1,470,560   ","1,391,549   ","79,011   "
42,Pennsylvania,1989,"9,160,230   ","5,740,285   ","5,456,748   ","283,537   "
44,Rhode Island,1989,"768,325   ","518,972   ","498,693   ","20,279   "
45,South Carolina,1989,"2,564,562   ","1,698,019   ","1,619,583   ","78,436   "
46,South Dakota,1989,"500,560   ","346,145   ","332,550   ","13,595   "
47,Tennessee,1989,"3,717,932   ","2,345,127   ","2,225,504   ","119,623   "
48,Texas,1989,"12,459,645   ","8,576,504   ","7,998,862   ","577,642   "
49,Utah,1989,"1,129,003   ","798,691   ","761,911   ","36,780   "
50,Vermont,1989,"422,608   ","301,807   ","291,188   ","10,619   "
51,Virginia,1989,"4,591,417   ","3,175,434   ","3,051,835   ","123,599   "
53,Washington,1989,"3,616,114   ","2,483,369   ","2,337,367   ","146,002   "
54,West Virginia,1989,"1,395,440   ","754,668   ","689,309   ","65,359   "
55,Wisconsin,1989,"3,658,220   ","2,587,778   ","2,476,302   ","111,476   "
56,Wyoming,1989,"330,750   ","233,573   ","219,540   ","14,033   "
01,Alabama,1990,"3,072,453   ","1,905,876   ","1,775,847   ","130,029   "
02,Alaska,1990,"371,896   ","273,195   ","253,410   ","19,785   "
04,Arizona,1990,"2,776,725   ","1,793,063   ","1,698,918   ","94,145   "
05,Arkansas,1990,"1,780,563   ","1,125,637   ","1,048,601   ","77,036   "
06,California,1990,"22,598,317   ","15,176,273   ","14,301,807   ","874,466   "
08,Colorado,1990,"2,488,617   ","1,772,263   ","1,681,919   ","90,344   "
09,Connecticut,1990,"2,573,383   ","1,822,363   ","1,732,728   ","89,635   "
10,Delaware,1990,"512,050   ","357,700   ","342,073   ","15,627   "
11,District of Columbia,1990,"485,352   ","329,771   ","309,911   ","19,860   "
12,Florida,1990,"10,259,947   ","6,506,291   ","6,103,602   ","402,689   "
13,Georgia,1990,"4,872,862   ","3,294,278   ","3,117,860   ","176,418   "
15,Hawaii,1990,"808,930   ","548,026   ","533,665   ","14,361   "
16,Idaho,1990,"728,627   ","493,677   ","466,253   ","27,424   "
17,Illinois,1990,"8,690,845   ","5,910,726   ","5,538,385   ","372,341   "
18,Indiana,1990,"4,181,940   ","2,799,013   ","2,656,668   ","142,345   "
19,Iowa,1990,"2,088,400   ","1,456,385   ","1,392,149   ","64,236   "
20,Kansas,1990,"1,823,410   ","1,268,820   ","1,214,717   ","54,103   "
21,Kentucky,1990,"2,798,669   ","1,751,669   ","1,645,878   ","105,791   "
22,Louisiana,1990,"3,072,638   ","1,852,619   ","1,736,186   ","116,433   "
23,Maine,1990,"939,392   ","630,793   ","597,214   ","33,579   "
24,Maryland,1990,"3,690,616   ","2,592,115   ","2,477,970   ","114,145   "
25,Massachusetts,1990,"4,713,012   ","3,239,024   ","3,033,046   ","205,978   "
26,Michigan,1990,"7,014,637   ","4,612,371   ","4,257,964   ","354,407   "
27,Minnesota,1990,"3,270,480   ","2,385,388   ","2,272,919   ","112,469   "
28,Mississippi,1990,"1,894,122   ","1,175,009   ","1,086,267   ","88,742   "
29,Missouri,1990,"3,861,000   ","2,615,139   ","2,461,017   ","154,122   "
30,Montana,1990,"595,685   ","402,673   ","378,306   ","24,367   "
31,Nebraska,1990,"1,162,143   ","815,248   ","796,224   ","19,024   "
32,Nevada,1990,"939,308   ","669,205   ","637,089   ","32,116   "
33,New Hampshire,1990,"847,867   ","622,323   ","589,678   ","32,645   "
34,New Jersey,1990,"6,045,292   ","4,053,479   ","3,848,220   ","205,259   "
35,New Mexico,1990,"1,118,306   ","713,032   ","665,546   ","47,486   "
36,New York,1990,"14,078,332   ","8,842,219   ","8,372,838   ","469,381   "
37,North Carolina,1990,"5,095,577   ","3,474,656   ","3,331,511   ","143,145   "
38,North Dakota,1990,"463,399   ","315,548   ","302,497   ","13,051   "
39,Ohio,1990,"8,231,324   ","5,395,712   ","5,086,720   ","308,992   "
40,Oklahoma,1990,"2,346,694   ","1,513,406   ","1,431,543   ","81,863   "
41,Oregon,1990,"2,193,787   ","1,495,339   ","1,414,592   ","80,747   "
42,Pennsylvania,1990,"9,205,470   ","5,794,580   ","5,475,592   ","318,988   "
44,Rhode Island,1990,"775,742   ","522,944   ","490,495   ","32,449   "
45,South Carolina,1990,"2,611,727   ","1,732,623   ","1,647,991   ","84,632   "
46,South Dakota,1990,"500,896   ","349,700   ","337,114   ","12,586   "
47,Tennessee,1990,"3,765,275   ","2,396,695   ","2,268,518   ","128,177   "
48,Texas,1990,"12,603,912   ","8,637,317   ","8,087,805   ","549,512   "
49,Utah,1990,"1,158,945   ","821,483   ","785,704   ","35,779   "
50,Vermont,1990,"429,429   ","305,688   ","290,947   ","14,741   "
51,Virginia,1990,"4,655,010   ","3,232,417   ","3,089,378   ","143,039   "
53,Washington,1990,"3,676,290   ","2,526,938   ","2,397,150   ","129,788   "
54,West Virginia,1990,"1,398,473   ","762,429   ","696,398   ","66,031   "
55,Wisconsin,1990,"3,677,178   ","2,597,144   ","2,483,196   ","113,948   "
56,Wyoming,1990,"329,496   ","234,016   ","221,990   ","12,026   "
01,Alabama,1991,"3,115,193   ","1,921,888   ","1,782,407   ","139,481   "
02,Alaska,1991,"381,360   ","277,553   ","254,529   ","23,024   "
04,Arizona,1991,"2,853,196   ","1,810,065   ","1,704,375   ","105,690   "
05,Arkansas,1991,"1,802,958   ","1,135,779   ","1,052,808   ","82,971   "
06,California,1991,"22,781,063   ","15,127,433   ","13,946,660   ","1,180,773   "
08,Colorado,1991,"2,542,126   ","1,802,399   ","1,707,101   ","95,298   "
09,Connecticut,1991,"2,570,348   ","1,830,597   ","1,711,923   ","118,674   "
10,Delaware,1991,"520,843   ","361,330   ","339,768   ","21,562   "
11,District of Columbia,1991,"479,717   ","322,090   ","297,431   ","24,659   "
12,Florida,1991,"10,482,131   ","6,526,338   ","6,026,712   ","499,626   "
13,Georgia,1991,"4,975,699   ","3,312,810   ","3,138,336   ","174,474   "
15,Hawaii,1991,"825,805   ","563,027   ","547,423   ","15,604   "
16,Idaho,1991,"751,702   ","509,579   ","477,317   ","32,262   "
17,Illinois,1991,"8,766,600   ","5,928,036   ","5,496,923   ","431,113   "
18,Indiana,1991,"4,242,184   ","2,798,710   ","2,639,780   ","158,930   "
19,Iowa,1991,"2,104,225   ","1,480,458   ","1,411,258   ","69,200   "
20,Kansas,1991,"1,833,932   ","1,283,043   ","1,225,463   ","57,580   "
21,Kentucky,1991,"2,827,493   ","1,759,109   ","1,631,009   ","128,100   "
22,Louisiana,1991,"3,096,905   ","1,898,397   ","1,760,920   ","137,477   "
23,Maine,1991,"943,818   ","640,175   ","590,450   ","49,725   "
24,Maryland,1991,"3,718,915   ","2,619,590   ","2,467,762   ","151,828   "
25,Massachusetts,1991,"4,694,940   ","3,182,989   ","2,900,001   ","282,988   "
26,Michigan,1991,"7,073,764   ","4,594,997   ","4,168,988   ","426,009   "
27,Minnesota,1991,"3,308,114   ","2,421,459   ","2,297,783   ","123,676   "
28,Mississippi,1991,"1,914,737   ","1,182,205   ","1,083,527   ","98,678   "
29,Missouri,1991,"3,892,293   ","2,646,970   ","2,473,531   ","173,439   "
30,Montana,1991,"602,344   ","402,449   ","374,528   ","27,921   "
31,Nebraska,1991,"1,174,038   ","833,208   ","811,259   ","21,949   "
32,Nevada,1991,"997,877   ","698,885   ","658,183   ","40,702   "
33,New Hampshire,1991,"848,143   ","618,861   ","577,071   ","41,790   "
34,New Jersey,1991,"6,075,160   ","4,060,770   ","3,785,998   ","274,772   "
35,New Mexico,1991,"1,138,897   ","722,542   ","670,151   ","52,391   "
36,New York,1991,"14,098,333   ","8,752,801   ","8,112,231   ","640,570   "
37,North Carolina,1991,"5,190,616   ","3,531,193   ","3,322,360   ","208,833   "
38,North Dakota,1991,"463,887   ","316,397   ","302,639   ","13,758   "
39,Ohio,1991,"8,297,689   ","5,421,022   ","5,065,101   ","355,921   "
40,Oklahoma,1991,"2,363,614   ","1,508,909   ","1,418,540   ","90,369   "
41,Oregon,1991,"2,243,827   ","1,514,075   ","1,420,921   ","93,154   "
42,Pennsylvania,1991,"9,255,931   ","5,833,194   ","5,430,023   ","403,171   "
44,Rhode Island,1991,"779,351   ","523,337   ","480,033   ","43,304   "
45,South Carolina,1991,"2,663,381   ","1,762,572   ","1,654,432   ","108,140   "
46,South Dakota,1991,"505,277   ","355,438   ","342,935   ","12,503   "
47,Tennessee,1991,"3,822,116   ","2,420,883   ","2,259,563   ","161,320   "
48,Texas,1991,"12,805,622   ","8,775,225   ","8,165,358   ","609,867   "
49,Utah,1991,"1,201,896   ","847,983   ","807,758   ","40,225   "
50,Vermont,1991,"432,456   ","307,330   ","287,848   ","19,482   "
51,Virginia,1991,"4,712,082   ","3,315,866   ","3,123,565   ","192,301   "
53,Washington,1991,"3,762,110   ","2,556,731   ","2,399,619   ","157,112   "
54,West Virginia,1991,"1,408,872   ","775,922   ","693,227   ","82,695   "
55,Wisconsin,1991,"3,720,301   ","2,629,989   ","2,488,764   ","141,225   "
56,Wyoming,1991,"333,480   ","235,013   ","223,195   ","11,818   "
01,Alabama,1992,"3,151,701   ","1,961,659   ","1,814,253   ","147,406   "
02,Alaska,1992,"394,252   ","287,523   ","262,011   ","25,512   "
04,Arizona,1992,"2,952,190   ","1,877,292   ","1,735,118   ","142,174   "
05,Arkansas,1992,"1,824,702   ","1,159,639   ","1,078,413   ","81,226   "
06,California,1992,"23,048,888   ","15,314,767   ","13,878,519   ","1,436,248   "
08,Colorado,1992,"2,619,017   ","1,847,786   ","1,734,727   ","113,059   "
09,Connecticut,1992,"2,557,975   ","1,820,253   ","1,687,285   ","132,968   "
10,Delaware,1992,"528,400   ","367,357   ","347,228   ","20,129   "
11,District of Columbia,1992,"473,239   ","317,759   ","290,571   ","27,188   "
12,Florida,1992,"10,683,773   ","6,633,872   ","6,076,283   ","557,589   "
13,Georgia,1992,"5,083,915   ","3,420,960   ","3,193,112   ","227,848   "
15,Hawaii,1992,"838,875   ","575,374   ","551,673   ","23,701   "
16,Idaho,1992,"775,082   ","529,564   ","494,892   ","34,672   "
17,Illinois,1992,"8,840,703   ","6,027,357   ","5,553,506   ","473,851   "
18,Indiana,1992,"4,289,330   ","2,860,224   ","2,685,823   ","174,401   "
19,Iowa,1992,"2,124,204   ","1,514,680   ","1,446,656   ","68,024   "
20,Kansas,1992,"1,857,204   ","1,308,002   ","1,248,554   ","59,448   "
21,Kentucky,1992,"2,855,989   ","1,777,669   ","1,655,170   ","122,499   "
22,Louisiana,1992,"3,118,969   ","1,920,132   ","1,770,730   ","149,402   "
23,Maine,1992,"945,090   ","641,044   ","593,907   ","47,137   "
24,Maryland,1992,"3,742,881   ","2,660,182   ","2,486,595   ","173,587   "
25,Massachusetts,1992,"4,684,751   ","3,182,773   ","2,902,499   ","280,274   "
26,Michigan,1992,"7,129,242   ","4,672,355   ","4,248,357   ","423,998   "
27,Minnesota,1992,"3,344,700   ","2,457,494   ","2,332,934   ","124,560   "
28,Mississippi,1992,"1,928,264   ","1,191,873   ","1,096,607   ","95,266   "
29,Missouri,1992,"3,920,245   ","2,657,267   ","2,494,891   ","162,376   "
30,Montana,1992,"612,810   ","418,696   ","390,580   ","28,116   "
31,Nebraska,1992,"1,187,864   ","843,890   ","820,198   ","23,692   "
32,Nevada,1992,"1,046,020   ","727,055   ","677,784   ","49,271   "
33,New Hampshire,1992,"849,786   ","616,730   ","571,782   ","44,948   "
34,New Jersey,1992,"6,095,991   ","4,064,349   ","3,716,982   ","347,367   "
35,New Mexico,1992,"1,164,136   ","736,570   ","682,586   ","53,984   "
36,New York,1992,"14,113,464   ","8,754,456   ","7,990,352   ","764,104   "
37,North Carolina,1992,"5,268,241   ","3,596,933   ","3,372,007   ","224,926   "
38,North Dakota,1992,"466,007   ","317,848   ","303,434   ","14,414   "
39,Ohio,1992,"8,343,205   ","5,497,271   ","5,090,371   ","406,900   "
40,Oklahoma,1992,"2,388,838   ","1,525,458   ","1,435,452   ","90,006   "
41,Oregon,1992,"2,292,528   ","1,558,936   ","1,445,764   ","113,172   "
42,Pennsylvania,1992,"9,281,756   ","5,883,297   ","5,448,674   ","434,623   "
44,Rhode Island,1992,"778,886   ","529,069   ","481,436   ","47,633   "
45,South Carolina,1992,"2,699,099   ","1,796,665   ","1,675,819   ","120,846   "
46,South Dakota,1992,"510,844   ","361,165   ","348,771   ","12,394   "
47,Tennessee,1992,"3,875,144   ","2,470,352   ","2,310,842   ","159,510   "
48,Texas,1992,"13,032,617   ","9,002,462   ","8,308,391   ","694,071   "
49,Utah,1992,"1,250,185   ","882,393   ","839,411   ","42,982   "
50,Vermont,1992,"434,976   ","310,469   ","291,752   ","18,717   "
51,Virginia,1992,"4,776,980   ","3,368,126   ","3,164,672   ","203,454   "
53,Washington,1992,"3,857,532   ","2,638,015   ","2,448,362   ","189,653   "
54,West Virginia,1992,"1,416,248   ","784,596   ","696,628   ","87,968   "
55,Wisconsin,1992,"3,766,594   ","2,696,888   ","2,559,703   ","137,185   "
56,Wyoming,1992,"339,511   ","238,136   ","225,146   ","12,990   "
01,Alabama,1993,"3,194,712   ","1,996,835   ","1,852,186   ","144,649   "
02,Alaska,1993,"402,806   ","294,644   ","271,708   ","22,936   "
04,Arizona,1993,"3,067,194   ","1,942,834   ","1,819,916   ","122,918   "
05,Arkansas,1993,"1,857,275   ","1,173,325   ","1,101,465   ","71,860   "
06,California,1993,"23,149,712   ","15,258,822   ","13,804,138   ","1,454,684   "
08,Colorado,1993,"2,712,217   ","1,927,991   ","1,824,385   ","103,606   "
09,Connecticut,1993,"2,551,354   ","1,794,761   ","1,678,486   ","116,275   "
10,Delaware,1993,"536,871   ","375,444   ","356,718   ","18,726   "
11,District of Columbia,1993,"470,179   ","314,634   ","288,338   ","26,296   "
12,Florida,1993,"10,877,831   ","6,752,363   ","6,254,688   ","497,675   "
13,Georgia,1993,"5,199,184   ","3,500,560   ","3,299,946   ","200,614   "
15,Hawaii,1993,"848,937   ","581,443   ","556,005   ","25,438   "
16,Idaho,1993,"802,793   ","551,390   ","517,792   ","33,598   "
17,Illinois,1993,"8,923,863   ","6,073,997   ","5,620,298   ","453,699   "
18,Indiana,1993,"4,341,806   ","2,947,320   ","2,797,285   ","150,035   "
19,Iowa,1993,"2,142,347   ","1,547,628   ","1,483,726   ","63,902   "
20,Kansas,1993,"1,879,138   ","1,325,718   ","1,260,117   ","65,601   "
21,Kentucky,1993,"2,894,146   ","1,799,817   ","1,688,322   ","111,495   "
22,Louisiana,1993,"3,143,030   ","1,907,789   ","1,765,792   ","141,997   "
23,Maine,1993,"948,526   ","629,764   ","586,983   ","42,781   "
24,Maryland,1993,"3,766,012   ","2,667,404   ","2,506,045   ","161,359   "
25,Massachusetts,1993,"4,691,976   ","3,186,676   ","2,954,602   ","232,074   "
26,Michigan,1993,"7,175,639   ","4,726,410   ","4,380,303   ","346,107   "
27,Minnesota,1993,"3,392,446   ","2,510,122   ","2,386,012   ","124,110   "
28,Mississippi,1993,"1,949,784   ","1,211,585   ","1,130,009   ","81,576   "
29,Missouri,1993,"3,960,937   ","2,702,887   ","2,536,698   ","166,189   "
30,Montana,1993,"626,611   ","424,671   ","398,769   ","25,902   "
31,Nebraska,1993,"1,201,522   ","860,831   ","837,095   ","23,736   "
32,Nevada,1993,"1,093,964   ","765,546   ","712,981   ","52,565   "
33,New Hampshire,1993,"857,094   ","619,475   ","581,478   ","37,997   "
34,New Jersey,1993,"6,126,566   ","4,037,852   ","3,724,389   ","313,463   "
35,New Mexico,1993,"1,191,451   ","757,046   ","701,651   ","55,395   "
36,New York,1993,"14,153,921   ","8,733,140   ","8,038,114   ","695,026   "
37,North Carolina,1993,"5,372,300   ","3,618,890   ","3,433,805   ","185,085   "
38,North Dakota,1993,"469,791   ","322,604   ","308,901   ","13,703   "
39,Ohio,1993,"8,396,556   ","5,508,456   ","5,141,326   ","367,130   "
40,Oklahoma,1993,"2,412,642   ","1,532,413   ","1,445,957   ","86,456   "
41,Oregon,1993,"2,349,222   ","1,603,108   ","1,491,252   ","111,856   "
42,Pennsylvania,1993,"9,318,740   ","5,888,471   ","5,485,867   ","402,604   "
44,Rhode Island,1993,"779,339   ","523,202   ","483,173   ","40,029   "
45,South Carolina,1993,"2,738,558   ","1,825,100   ","1,691,707   ","133,393   "
46,South Dakota,1993,"519,407   ","367,413   ","354,717   ","12,696   "
47,Tennessee,1993,"3,935,580   ","2,533,074   ","2,386,937   ","146,137   "
48,Texas,1993,"13,290,066   ","9,158,638   ","8,497,340   ","661,298   "
49,Utah,1993,"1,302,875   ","935,163   ","897,342   ","37,821   "
50,Vermont,1993,"438,831   ","313,449   ","297,725   ","15,724   "
51,Virginia,1993,"4,848,836   ","3,365,576   ","3,193,302   ","172,274   "
53,Washington,1993,"3,953,780   ","2,697,842   ","2,504,367   ","193,475   "
54,West Virginia,1993,"1,426,460   ","782,716   ","702,592   ","80,124   "
55,Wisconsin,1993,"3,817,551   ","2,749,671   ","2,627,838   ","121,833   "
56,Wyoming,1993,"345,874   ","242,692   ","229,770   ","12,922   "
01,Alabama,1994,"3,229,476   ","2,033,884   ","1,908,247   ","125,637   "
02,Alaska,1994,"408,358   ","301,141   ","278,356   ","22,785   "
04,Arizona,1994,"3,210,178   ","2,101,083   ","1,970,796   ","130,287   "
05,Arkansas,1994,"1,885,345   ","1,204,366   ","1,138,761   ","65,605   "
06,California,1994,"23,195,286   ","15,253,915   ","13,931,925   ","1,321,990   "
08,Colorado,1994,"2,804,561   ","2,035,184   ","1,950,371   ","84,813   "
09,Connecticut,1994,"2,547,483   ","1,757,935   ","1,659,834   ","98,101   "
10,Delaware,1994,"544,589   ","384,081   ","365,766   ","18,315   "
11,District of Columbia,1994,"463,628   ","309,896   ","285,301   ","24,595   "
12,Florida,1994,"11,095,942   ","6,921,839   ","6,471,343   ","450,496   "
13,Georgia,1994,"5,328,999   ","3,604,889   ","3,422,314   ","182,575   "
15,Hawaii,1994,"857,159   ","582,708   ","552,689   ","30,019   "
16,Idaho,1994,"830,252   ","586,429   ","554,104   ","32,325   "
17,Illinois,1994,"8,982,764   ","6,107,963   ","5,751,833   ","356,130   "
18,Indiana,1994,"4,385,029   ","3,049,955   ","2,908,241   ","141,714   "
19,Iowa,1994,"2,158,489   ","1,569,356   ","1,512,658   ","56,698   "
20,Kansas,1994,"1,898,319   ","1,343,366   ","1,279,126   ","64,240   "
21,Kentucky,1994,"2,923,468   ","1,828,540   ","1,730,252   ","98,288   "
22,Louisiana,1994,"3,165,757   ","1,950,428   ","1,801,521   ","148,907   "
23,Maine,1994,"951,296   ","626,574   ","585,266   ","41,308   "
24,Maryland,1994,"3,794,139   ","2,694,201   ","2,552,623   ","141,578   "
25,Massachusetts,1994,"4,711,693   ","3,194,217   ","2,994,935   ","199,282   "
26,Michigan,1994,"7,225,788   ","4,806,370   ","4,512,929   ","293,441   "
27,Minnesota,1994,"3,439,851   ","2,577,824   ","2,473,780   ","104,044   "
28,Mississippi,1994,"1,974,546   ","1,242,806   ","1,164,543   ","78,263   "
29,Missouri,1994,"4,004,951   ","2,760,016   ","2,618,771   ","141,245   "
30,Montana,1994,"640,997   ","436,805   ","412,795   ","24,010   "
31,Nebraska,1994,"1,213,929   ","883,742   ","860,370   ","23,372   "
32,Nevada,1994,"1,156,935   ","811,157   ","760,455   ","50,702   "
33,New Hampshire,1994,"866,315   ","625,485   ","597,258   ","28,227   "
34,New Jersey,1994,"6,155,720   ","4,063,016   ","3,784,729   ","278,287   "
35,New Mexico,1994,"1,223,757   ","781,037   ","730,090   ","50,947   "
36,New York,1994,"14,172,046   ","8,686,261   ","8,084,425   ","601,836   "
37,North Carolina,1994,"5,479,050   ","3,674,914   ","3,512,152   ","162,762   "
38,North Dakota,1994,"473,908   ","335,987   ","323,560   ","12,427   "
39,Ohio,1994,"8,434,574   ","5,566,029   ","5,252,554   ","313,475   "
40,Oklahoma,1994,"2,433,110   ","1,550,430   ","1,467,943   ","82,487   "
41,Oregon,1994,"2,397,996   ","1,644,200   ","1,556,998   ","87,202   "
42,Pennsylvania,1994,"9,346,803   ","5,888,712   ","5,516,316   ","372,396   "
44,Rhode Island,1994,"780,706   ","514,105   ","479,776   ","34,329   "
45,South Carolina,1994,"2,773,845   ","1,840,083   ","1,726,501   ","113,582   "
46,South Dakota,1994,"528,801   ","375,977   ","363,701   ","12,276   "
47,Tennessee,1994,"4,002,005   ","2,655,469   ","2,527,786   ","127,683   "
48,Texas,1994,"13,552,304   ","9,400,338   ","8,782,061   ","618,277   "
49,Utah,1994,"1,356,468   ","993,437   ","956,305   ","37,132   "
50,Vermont,1994,"443,354   ","315,881   ","301,934   ","13,947   "
51,Virginia,1994,"4,912,745   ","3,410,908   ","3,248,480   ","162,428   "
53,Washington,1994,"4,035,523   ","2,745,789   ","2,571,267   ","174,522   "
54,West Virginia,1994,"1,432,589   ","787,439   ","717,960   ","69,479   "
