FIPS,State,Year,Total Population,Labor Force Population,Employed,Unemployed
23,Maine,1977,"790,083   ","480,599   ","440,348   ","40,251   "
24,Maryland,1977,"3,030,250   ","1,969,310   ","1,849,405   ","119,905   "
25,Massachusetts,1977,"4,254,167   ","2,753,330   ","2,536,924   ","216,406   "
26,Michigan,1977,"6,543,083   ","4,109,294   ","3,771,768   ","337,526   "
27,Minnesota,1977,"2,861,667   ","1,919,749   ","1,818,464   ","101,285   "
28,Mississippi,1977,"1,690,583   ","993,611   ","922,082   ","71,529   "
29,Missouri,1977,"3,535,000   ","2,204,297   ","2,072,054   ","132,243   "
30,Montana,1977,"550,500   ","348,780   ","327,199   ","21,581   "
31,Nebraska,1977,"1,114,417   ","740,271   ","715,354   ","24,917   "
32,Nevada,1977,"492,500   ","350,765   ","326,882   ","23,883   "
33,New Hampshire,1977,"625,667   ","418,944   ","395,710   ","23,234   "
34,New Jersey,1977,"5,436,833   ","3,386,590   ","3,070,037   ","316,553   "
35,New Mexico,1977,"838,583   ","511,830   ","472,384   ","39,446   "
36,New York,1977,"13,244,083   ","7,731,821   ","7,023,829   ","707,992   "
37,North Carolina,1977,"4,027,333   ","2,684,570   ","2,526,540   ","158,030   "
38,North Dakota,1977,"453,417   ","288,469   ","275,671   ","12,798   "
39,Ohio,1977,"7,812,167   ","4,831,332   ","4,518,935   ","312,397   "
40,Oklahoma,1977,"2,065,583   ","1,240,130   ","1,181,129   ","59,001   "
41,Oregon,1977,"1,800,333   ","1,151,895   ","1,066,485   ","85,410   "
42,Pennsylvania,1977,"8,879,000   ","5,210,584   ","4,808,178   ","402,406   "
44,Rhode Island,1977,"706,083   ","449,144   ","412,920   ","36,224   "
45,South Carolina,1977,"2,061,250   ","1,326,585   ","1,236,934   ","89,651   "
46,South Dakota,1977,"486,583   ","318,691   ","307,876   ","10,815   "
47,Tennessee,1977,"3,188,167   ","1,936,837   ","1,816,156   ","120,681   "
48,Texas,1977,"9,243,167   ","5,963,232   ","5,639,355   ","323,877   "
49,Utah,1977,"866,000   ","546,697   ","518,236   ","28,461   "
50,Vermont,1977,"351,583   ","227,947   ","212,019   ","15,928   "
51,Virginia,1977,"3,667,667   ","2,402,669   ","2,271,354   ","131,315   "
53,Washington,1977,"2,719,000   ","1,708,029   ","1,565,199   ","142,830   "
54,West Virginia,1977,"1,394,583   ","719,521   ","669,856   ","49,665   "
55,Wisconsin,1977,"3,319,417   ","2,187,585   ","2,077,001   ","110,584   "
56,Wyoming,1977,"288,833   ","195,237   ","188,744   ","6,493   "
01,Alabama,1978,"2,745,083   ","1,619,692   ","1,514,671   ","105,021   "
02,Alaska,1978,"255,000   ","182,160   ","162,741   ","19,419   "
04,Arizona,1978,"1,809,083   ","1,085,110   ","1,020,576   ","64,534   "
05,Arkansas,1978,"1,616,250   ","947,223   ","888,262   ","58,961   "
06,California,1978,"16,761,667   ","10,914,879   ","10,135,587   ","779,292   "
08,Colorado,1978,"1,994,750   ","1,353,528   ","1,278,333   ","75,195   "
09,Connecticut,1978,"2,312,833   ","1,512,562   ","1,432,247   ","80,315   "
10,Delaware,1978,"434,750   ","277,169   ","257,618   ","19,551   "
11,District of Columbia,1978,"508,750   ","332,994   ","307,293   ","25,701   "
12,Florida,1978,"6,970,583   ","3,961,546   ","3,692,603   ","268,943   "
13,Georgia,1978,"3,732,167   ","2,411,350   ","2,273,425   ","137,925   "
15,Hawaii,1978,"624,167   ","421,691   ","392,269   ","29,422   "
16,Idaho,1978,"631,667   ","414,751   ","391,937   ","22,814   "
17,Illinois,1978,"8,365,417   ","5,422,917   ","5,096,902   ","326,015   "
18,Indiana,1978,"3,928,917   ","2,583,919   ","2,439,912   ","144,007   "
19,Iowa,1978,"2,129,333   ","1,415,797   ","1,360,723   ","55,074   "
20,Kansas,1978,"1,697,750   ","1,135,794   ","1,101,120   ","34,674   "
21,Kentucky,1978,"2,581,583   ","1,576,591   ","1,496,608   ","79,983   "
22,Louisiana,1978,"2,836,500   ","1,667,189   ","1,553,455   ","113,734   "
23,Maine,1978,"805,333   ","485,432   ","454,300   ","31,132   "
24,Maryland,1978,"3,076,917   ","2,050,467   ","1,936,450   ","114,017   "
25,Massachusetts,1978,"4,297,167   ","2,815,479   ","2,642,147   ","173,332   "
26,Michigan,1978,"6,634,500   ","4,220,924   ","3,924,773   ","296,151   "
27,Minnesota,1978,"2,907,500   ","1,978,503   ","1,899,967   ","78,536   "
28,Mississippi,1978,"1,722,000   ","1,009,957   ","941,591   ","68,366   "
